sample_id,replicate,334_373,334_384,600,ratio
A1,1,140854.0,176659.0,0.04,0.7973213931925348
A2,1,154288.0,188622.0,0.0396,0.8179745734855955
A3,1,156410.0,187044.0,0.0401,0.8362203545689785
A4,1,156649.0,182896.0,0.0411,0.8564922141544922
A5,1,166309.0,199982.0,0.0396,0.8316198457861208
A6,1,177944.0,225606.0,0.0399,0.7887378881767328
A7,1,200601.0,277201.0,0.0417,0.7236662205403299
A8,1,224260.0,328226.0,0.0558,0.6832487371506218
B1,1,241119.0,373971.0,0.0402,0.6447532027884515
B2,1,235240.0,364800.0,0.0393,0.6448464912280701
B3,1,254689.0,398206.0,0.039,0.6395910659306991
B4,1,234527.0,363803.0,0.0423,0.644653837379021
A1,2,127178.0,158340.0,0.0397,0.8031956549197928
A2,2,140293.0,175723.0,0.0395,0.7983758529048559
A3,2,141139.0,177172.0,0.0405,0.79662136229201
A4,2,138981.0,175598.0,0.0408,0.7914725680246928
A5,2,149488.0,189475.0,0.0393,0.7889589655627391
A6,2,166058.0,215255.0,0.04,0.7714478177045829
A7,2,190212.0,256927.0,0.0417,0.740334803270968
A8,2,213590.0,308050.0,0.0556,0.6933614672942704
B1,2,233344.0,358031.0,0.0399,0.6517424468830911
B2,2,229472.0,358810.0,0.0395,0.6395362448092305
B3,2,246544.0,386296.0,0.0392,0.6382256093772651
B4,2,230327.0,356303.0,0.0425,0.6464357583292871
A1,3,121595.0,151399.0,0.0401,0.8031426891855297
A2,3,134525.0,170073.0,0.0396,0.7909838716315934
A3,3,134675.0,170765.0,0.0402,0.7886569261851082
A4,3,132651.0,170526.0,0.0409,0.7778931072094578
A5,3,141358.0,182934.0,0.0394,0.7727267757770562
A6,3,157686.0,206876.0,0.04,0.7622247143216226
A7,3,183359.0,248844.0,0.0416,0.7368431627847165
A8,3,209075.0,300343.0,0.055,0.6961207685879145
B1,3,228504.0,348097.0,0.0402,0.6564377170731147
B2,3,224257.0,349150.0,0.0391,0.6422941429185164
B3,3,240619.0,377300.0,0.0391,0.6377391995759343
B4,3,225268.0,349546.0,0.0428,0.6444588122879392
