sample_id,replicate,334_373,334_384,600,ratio
B5,1,140559.0,181863.0,0.0403,0.7728839840979198
B6,1,143467.0,189691.0,0.0405,0.7563194880094469
B7,1,184418.0,246379.0,0.0397,0.7485134690862452
B8,1,172945.0,227086.0,0.0408,0.7615837171820368
C1,1,157638.0,218547.0,0.0394,0.7213002237504976
C2,1,170835.0,245722.0,0.0391,0.6952368937254295
C3,1,176870.0,253011.0,0.0416,0.6990605151554675
C4,1,187953.0,273820.0,0.04,0.6864107808049084
C5,1,191644.0,271486.0,0.0388,0.7059074869422365
C6,1,198222.0,284841.0,0.0389,0.695904030669742
C7,1,204145.0,301719.0,0.0399,0.6766063787829073
C8,1,183643.0,270443.0,0.0401,0.6790451222623621
B5,2,130380.0,173353.0,0.0403,0.7521069724781226
B6,2,140201.0,178923.0,0.0406,0.7835828820218753
B7,2,172348.0,229822.0,0.0395,0.7499195029196508
B8,2,159642.0,209553.0,0.0406,0.7618215916737054
C1,2,148266.0,203749.0,0.0392,0.7276894610525696
C2,2,160785.0,226517.0,0.0391,0.7098142744253191
C3,2,165041.0,237772.0,0.0417,0.6941145298857729
C4,2,175712.0,257300.0,0.0398,0.6829071123202487
C5,2,181557.0,264140.0,0.0388,0.6873514045581889
C6,2,187144.0,270897.0,0.0388,0.6908308323827875
C7,2,196101.0,283643.0,0.0398,0.6913655545879857
C8,2,178292.0,261304.0,0.0402,0.6823163824510915
B5,3,125041.0,166273.0,0.0404,0.7520222766173702
B6,3,131250.0,172587.0,0.0402,0.760486015748579
B7,3,162184.0,220182.0,0.0396,0.7365906386534776
B8,3,151769.0,204361.0,0.0408,0.7426514843830281
C1,3,142840.0,196880.0,0.0394,0.7255180820804551
C2,3,154066.0,220401.0,0.039,0.699025866488809
C3,3,159276.0,231149.0,0.0417,0.6890620335800717
C4,3,168990.0,249196.0,0.0401,0.67814090113806
C5,3,173986.0,257048.0,0.0387,0.6768619090597865
C6,3,182749.0,264884.0,0.0389,0.6899208710227873
C7,3,190963.0,277287.0,0.04,0.688683566124629
C8,3,173185.0,258811.0,0.0402,0.6691562568824354
