sample_id,replicate,334_373,334_384,600,ratio
D1,1,140983.0,167530.0,0.0423,0.8415388288664717
D2,1,129881.0,160913.0,0.0446,0.8071504477574839
D3,1,121819.0,147485.0,0.0415,0.8259755229345357
D4,1,114627.0,139686.0,0.0396,0.8206047850178257
D5,1,110783.0,136293.0,0.0391,0.8128297124577197
D6,1,112660.0,141412.0,0.0384,0.796679206856561
D7,1,121009.0,156142.0,0.0392,0.7749932753519232
D8,1,126266.0,165352.0,0.0392,0.7636194300643476
E1,1,126437.0,174595.0,0.0401,0.7241730862854033
E2,1,134802.0,185994.0,0.0408,0.7247653150101616
E3,1,139709.0,190374.0,0.0386,0.7338659690924181
E4,1,119339.0,165693.0,0.039,0.7202416517294031
D1,2,131736.0,150965.0,0.0424,0.8726261053886663
D2,2,121133.0,150107.0,0.0441,0.8069776892483362
D3,2,112797.0,139594.0,0.0413,0.8080361620126939
D4,2,107410.0,132112.0,0.0394,0.8130222841225627
D5,2,105355.0,128658.0,0.0389,0.8188764010011037
D6,2,107671.0,136249.0,0.0385,0.7902516715719015
D7,2,115972.0,148780.0,0.039,0.7794864901196398
D8,2,121655.0,158864.0,0.039,0.7657807936348071
E1,2,120511.0,166085.0,0.0405,0.7255983382003192
E2,2,128672.0,181428.0,0.0408,0.709217981788919
E3,2,134068.0,184422.0,0.0384,0.7269631605773714
E4,2,115964.0,161483.0,0.039,0.7181189351201055
D1,3,126715.0,146318.0,0.0427,0.8660246859579819
D2,3,116402.0,145133.0,0.044,0.8020367524959865
D3,3,109776.0,135352.0,0.0413,0.8110408416573084
D4,3,103024.0,127377.0,0.0393,0.8088116378938113
D5,3,101868.0,125777.0,0.0392,0.8099096019144995
D6,3,104832.0,131620.0,0.0385,0.7964746998936332
D7,3,112851.0,143852.0,0.039,0.7844937852793149
D8,3,118349.0,153852.0,0.0393,0.7692392689077815
E1,3,117123.0,159824.0,0.0404,0.7328248573430773
E2,3,125394.0,178347.0,0.0408,0.7030900435667548
E3,3,129311.0,183797.0,0.0384,0.7035533768233432
E4,3,114169.0,159086.0,0.0389,0.7176558590950807
