concentration,surfactant volume,water volume,probe volume,total volume
0.171,19.054844097995545,955.9451559020044,25,1000.0
0.243,27.077936349783137,947.9220636502168,25,1000.0
0.347,38.666847380143,936.333152619857,25,1000.0
0.496,55.270191067870115,919.7298089321299,25,1000.0
0.708,78.89374047591136,896.1062595240886,25,1000.0
1.01,112.54615519868712,862.4538448013129,25,1000.0
1.441,160.57327687258234,814.4267231274176,25,1000.0
2.057,229.21528836009844,745.7847116399016,25,1000.0
2.935,327.05244109717495,647.947558902825,25,1000.0
4.189,466.7879644824756,508.2120355175244,25,1000.0
5.978,666.1395205720313,308.8604794279687,25,1000.0
8.531,950.6249999999999,24.375000000000114,25,1000.0
