sample_id,replicate,334_373,334_384,600,ratio
E5,1,155585.0,190274.0,0.0403,0.8176892271145821
E6,1,163105.0,199023.0,0.0447,0.8195283962155128
E7,1,156806.0,189646.0,0.0395,0.8268352614871919
E8,1,166816.0,199610.0,0.0406,0.8357096337858825
F1,1,159078.0,199083.0,0.0422,0.7990536610358494
F2,1,151754.0,191285.0,0.0398,0.7933397809551194
F3,1,221739.0,325311.0,0.0417,0.6816215867277774
F4,1,229557.0,337663.0,0.0391,0.6798405510819959
F5,1,238442.0,356023.0,0.0442,0.6697376293104659
F6,1,236484.0,354214.0,0.0395,0.6676303025854426
F7,1,234198.0,352530.0,0.0404,0.6643349502170028
F8,1,181118.0,265974.0,0.0402,0.6809612969688766
E5,2,142507.0,179462.0,0.0406,0.7940789693639879
E6,2,151941.0,189574.0,0.0446,0.8014864907635013
E7,2,144154.0,179482.0,0.0393,0.8031668913874371
E8,2,153976.0,187151.0,0.0406,0.8227367206159732
F1,2,147730.0,188527.0,0.0419,0.7836012878791897
F2,2,140419.0,179695.0,0.04,0.7814296446757005
F3,2,211428.0,310845.0,0.0418,0.6801717897987744
F4,2,218238.0,323099.0,0.039,0.6754524155135113
F5,2,228055.0,339598.0,0.0445,0.6715440020259248
F6,2,226160.0,340561.0,0.0398,0.6640807373715722
F7,2,223320.0,337597.0,0.0405,0.6614987692426176
F8,2,178204.0,267305.0,0.0402,0.6666691606965826
E5,3,136268.0,171488.0,0.0407,0.7946211979846987
E6,3,143895.0,182013.0,0.0445,0.7905753984605495
E7,3,136285.0,169813.0,0.0394,0.8025592858026181
E8,3,144747.0,179370.0,0.0406,0.8069744104365278
F1,3,142150.0,182781.0,0.0421,0.7777066544115636
F2,3,135138.0,172470.0,0.0399,0.7835449643416247
F3,3,205387.0,302432.0,0.0419,0.6791179504814305
F4,3,212572.0,316266.0,0.0392,0.6721304218600798
F5,3,221605.0,332427.0,0.0445,0.6666275603365551
F6,3,221064.0,334513.0,0.0396,0.6608532403822871
F7,3,217178.0,328668.0,0.0405,0.660782309199557
F8,3,174819.0,263937.0,0.0401,0.66235124291024
