sample_id,replicate,334_373,334_384,600,ratio
D1,1,163505.0,200781.0,0.0419,0.814344982842002
D2,1,167515.0,202728.0,0.0399,0.8263042105678544
D3,1,170214.0,205418.0,0.0401,0.828622613402915
D4,1,161618.0,195510.0,0.0397,0.8266482532862769
D5,1,164095.0,198704.0,0.041,0.8258263547789677
D6,1,172089.0,211873.0,0.039,0.8122271360673611
D7,1,197051.0,252160.0,0.0389,0.781452252538071
D8,1,226578.0,308745.0,0.0441,0.7338677549433998
E1,1,223174.0,329866.0,0.0415,0.676559572674965
E2,1,245111.0,370392.0,0.0461,0.6617610531544957
E3,1,245628.0,372981.0,0.039,0.6585536528670362
E4,1,204061.0,304133.0,0.0396,0.6709597445854281
D1,2,151727.0,186434.0,0.0419,0.8138376047287512
D2,2,154410.0,189522.0,0.0397,0.8147339095197391
D3,2,156969.0,195193.0,0.04,0.804173305395173
D4,2,148001.0,184871.0,0.0396,0.8005636362652877
D5,2,151557.0,189638.0,0.0412,0.7991910903932756
D6,2,159954.0,201646.0,0.0391,0.7932416214554219
D7,2,184327.0,237076.0,0.0388,0.7775017294032294
D8,2,212675.0,291320.0,0.044,0.7300391322257311
E1,2,215801.0,317015.0,0.0417,0.6807280412598773
E2,2,236491.0,356713.0,0.0463,0.6629727540067225
E3,2,236181.0,360992.0,0.0391,0.6542554959666697
E4,2,196057.0,292206.0,0.0399,0.6709547374112783
D1,3,144161.0,180722.0,0.0417,0.797694801961023
D2,3,146044.0,182776.0,0.0396,0.7990326957587429
D3,3,148706.0,187183.0,0.04,0.7944418029415065
D4,3,140568.0,179471.0,0.0399,0.7832351744850143
D5,3,145204.0,183657.0,0.0411,0.7906260039094617
D6,3,152778.0,194731.0,0.0388,0.7845592124520492
D7,3,174551.0,231186.0,0.0389,0.7550240931544298
D8,3,205335.0,285899.0,0.044,0.7182081784126563
E1,3,211862.0,310150.0,0.0416,0.683095276479123
E2,3,230350.0,348325.0,0.0463,0.6613076867867652
E3,3,232292.0,354074.0,0.0391,0.6560549489654705
E4,3,193441.0,289899.0,0.0395,0.6672703251822186
