sample_id,replicate,334_373,334_384,600,ratio
A1,1,144767.0,183879.0,0.0404,0.7872949058891989
A2,1,139374.0,173231.0,0.039,0.8045557665775757
A3,1,145933.0,177820.0,0.041,0.820678213924193
A4,1,139184.0,170272.0,0.0404,0.8174215373050179
A5,1,136561.0,170692.0,0.0387,0.800043352939798
A6,1,141947.0,178912.0,0.0394,0.7933900465033089
A7,1,150769.0,190693.0,0.0399,0.7906373070852103
A8,1,164240.0,213882.0,0.04,0.7679000570407982
B1,1,169398.0,239447.0,0.0466,0.7074550944467878
B2,1,155800.0,222110.0,0.0393,0.7014542343883661
B3,1,157529.0,225297.0,0.0387,0.6992059370519803
B4,1,127723.0,180935.0,0.0411,0.7059054356536878
A1,2,138450.0,175265.0,0.0402,0.7899466522123642
A2,2,132799.0,165034.0,0.0389,0.8046766120920538
A3,2,136740.0,170764.0,0.0394,0.8007542573376122
A4,2,131112.0,165507.0,0.0404,0.7921840163860139
A5,2,130647.0,164429.0,0.0387,0.7945496232416422
A6,2,135190.0,171770.0,0.0396,0.7870408103859813
A7,2,140912.0,186211.0,0.0399,0.7567329534775067
A8,2,155111.0,210402.0,0.0399,0.7372125740249618
B1,2,161428.0,230886.0,0.0451,0.6991675545507307
B2,2,149551.0,216405.0,0.0391,0.6910699845197662
B3,2,150441.0,216708.0,0.0388,0.6942106428927405
B4,2,124333.0,177703.0,0.0411,0.6996674226096352
A1,3,132933.0,169805.0,0.0404,0.7828568063366803
A2,3,126817.0,159387.0,0.0393,0.7956546016927353
A3,3,130969.0,163873.0,0.0393,0.799210364123437
A4,3,125604.0,160336.0,0.0404,0.7833799022053687
A5,3,125683.0,159414.0,0.0387,0.7884062880299095
A6,3,129335.0,166285.0,0.0397,0.7777911417145262
A7,3,136121.0,181135.0,0.0399,0.7514892207469567
A8,3,148326.0,205743.0,0.04,0.7209285370583689
B1,3,157647.0,226749.0,0.0477,0.6952489316380668
B2,3,145435.0,211381.0,0.0392,0.6880230484291397
B3,3,147324.0,214520.0,0.0388,0.6867611411523401
B4,3,122236.0,175326.0,0.041,0.6971926582480636
