concentration,surfactant volume,water volume,probe volume,total volume
0.301,18.99230884109916,956.0076911589008,25,1000.0
0.43,27.131869772998805,947.8681302270012,25,1000.0
0.614,38.741786140979684,936.2582138590203,25,1000.0
0.876,55.27329749103942,919.7267025089606,25,1000.0
1.25,78.87171445639187,896.1282855436082,25,1000.0
1.783,112.50261350059736,862.4973864994026,25,1000.0
2.545,160.58281063321385,814.4171893667861,25,1000.0
3.632,229.16965352449225,745.8303464755078,25,1000.0
5.184,327.0967741935484,647.9032258064516,25,1000.0
7.398,466.7943548387096,508.2056451612904,25,1000.0
10.557,666.1189516129033,308.8810483870967,25,1000.0
15.066,950.625,24.375,25,1000.0
