sample_id,replicate,334_373,334_384,600,ratio
B5,1,160256.0,205451.0,0.041,0.7800205401774633
B6,1,140330.0,172770.0,0.0406,0.812235920588065
B7,1,150281.0,181239.0,0.0394,0.8291868747896424
B8,1,144180.0,172934.0,0.0409,0.8337284744468988
C1,1,130089.0,159574.0,0.0398,0.8152267913319212
C2,1,134104.0,165379.0,0.0393,0.8108889278566203
C3,1,149518.0,203778.0,0.0408,0.7337298432608034
C4,1,168916.0,236465.0,0.0405,0.7143382741631954
C5,1,161640.0,224388.0,0.0389,0.7203593775068186
C6,1,166248.0,235169.0,0.0389,0.7069299099796317
C7,1,151694.0,216834.0,0.0399,0.6995858583063542
C8,1,124838.0,174248.0,0.0402,0.7164386391809375
B5,2,150259.0,190945.0,0.0412,0.7869229359239571
B6,2,130921.0,161919.0,0.0408,0.8085586002877982
B7,2,140984.0,171965.0,0.0394,0.8198412467653301
B8,2,135200.0,165855.0,0.0409,0.815169877302463
C1,2,119649.0,147669.0,0.0398,0.8102513052841152
C2,2,123346.0,153004.0,0.0392,0.8061619304070482
C3,2,142274.0,196508.0,0.0408,0.7240112361837686
C4,2,162267.0,232111.0,0.0402,0.6990922446588055
C5,2,154299.0,217142.0,0.039,0.7105903049617301
C6,2,160603.0,230141.0,0.0388,0.6978461030411791
C7,2,146737.0,210401.0,0.04,0.6974158868066216
C8,2,121064.0,168822.0,0.0402,0.7171103292224947
B5,3,144138.0,184409.0,0.0412,0.7816212874642777
B6,3,125811.0,156698.0,0.0407,0.802888358498513
B7,3,134214.0,165100.0,0.0392,0.8129254996971532
B8,3,129827.0,160369.0,0.041,0.8095517213426535
C1,3,115832.0,142650.0,0.0397,0.8120014020329478
C2,3,119005.0,147358.0,0.0392,0.8075910367947448
C3,3,137036.0,189775.0,0.0408,0.7220972203925702
C4,3,157226.0,226627.0,0.0403,0.6937655266142163
C5,3,149979.0,216811.0,0.0389,0.691749957336113
C6,3,157011.0,229013.0,0.0389,0.6855986341386734
C7,3,143246.0,207410.0,0.04,0.6906417241213056
C8,3,118395.0,166330.0,0.0404,0.7118078518607587
