sample_id,replicate,334_373,334_384,600,ratio
D1,1,150061.0,182951.0,0.0409,0.8202250875917595
D2,1,152442.0,182482.0,0.0406,0.8353810238818076
D3,1,154127.0,184765.0,0.0401,0.8341785511325197
D4,1,157173.0,187667.0,0.0389,0.8375100577086009
D5,1,159526.0,193417.0,0.0386,0.8247775531623384
D6,1,172825.0,220018.0,0.0385,0.7855039133161832
D7,1,194537.0,269413.0,0.0389,0.7220772568510057
D8,1,179378.0,248148.0,0.0397,0.7228669987265665
E1,1,167639.0,237038.0,0.0406,0.7072241581518575
E2,1,162007.0,229573.0,0.0414,0.7056883867005266
E3,1,149350.0,209705.0,0.0388,0.712190934884719
E4,1,122729.0,169998.0,0.0425,0.7219437875739715
D1,2,139509.0,171703.0,0.0413,0.812501820003145
D2,2,141778.0,174415.0,0.0406,0.8128773327982112
D3,2,143228.0,176421.0,0.0402,0.8118534641567614
D4,2,144206.0,178891.0,0.039,0.8061109837834212
D5,2,146811.0,182232.0,0.0385,0.805626893191097
D6,2,158845.0,209423.0,0.0385,0.7584888001795409
D7,2,183983.0,256020.0,0.0388,0.7186274509803922
D8,2,169586.0,237541.0,0.0394,0.7139230701226315
E1,2,160574.0,229014.0,0.0407,0.7011536412621062
E2,2,152021.0,217678.0,0.0416,0.6983755822820864
E3,2,144806.0,203140.0,0.0389,0.7128384365462243
E4,2,117421.0,163521.0,0.0393,0.7180790234893377
D1,3,132290.0,163644.0,0.0412,0.8084011635012588
D2,3,133742.0,165342.0,0.0406,0.8088809860773427
D3,3,134734.0,167566.0,0.0402,0.8040652638363391
D4,3,137420.0,171171.0,0.0392,0.8028229080860659
D5,3,139228.0,173973.0,0.0386,0.800285101711185
D6,3,153316.0,203547.0,0.0387,0.7532216146639351
D7,3,178903.0,251073.0,0.0391,0.71255371943618
D8,3,164707.0,232496.0,0.0395,0.7084293923336316
E1,3,156757.0,224433.0,0.0409,0.698457891664773
E2,3,147281.0,211788.0,0.0414,0.695417115228436
E3,3,141579.0,200773.0,0.0388,0.70516951980595
E4,3,115624.0,161224.0,0.0394,0.7171636977124993
