sample_id,replicate,334_373,334_384,600,ratio
D1,1,153964.0,190284.0,0.0409,0.8091274095562423
D2,1,151271.0,186010.0,0.0391,0.8132412235901295
D3,1,150340.0,183169.0,0.0394,0.8207720738771299
D4,1,141244.0,171962.0,0.0393,0.8213675114269432
D5,1,116197.0,141094.0,0.0408,0.8235431698016925
D6,1,103741.0,135054.0,0.0381,0.7681445940142462
D7,1,146836.0,199421.0,0.0388,0.736311622146113
D8,1,154198.0,205440.0,0.0386,0.7505743769470405
E1,1,139212.0,192750.0,0.0414,0.7222412451361868
E2,1,140695.0,197915.0,0.0397,0.7108859864083066
E3,1,129717.0,181660.0,0.0383,0.714064736320599
E4,1,109312.0,150673.0,0.0387,0.7254916275643281
D1,2,137423.0,171999.0,0.0411,0.7989755754393921
D2,2,136831.0,167977.0,0.0394,0.8145817582168987
D3,2,138423.0,172609.0,0.0397,0.8019454373758031
D4,2,132240.0,164578.0,0.0392,0.8035095820826599
D5,2,110124.0,137266.0,0.0408,0.8022671309719814
D6,2,99352.0,131488.0,0.0381,0.7555974689705525
D7,2,142054.0,198455.0,0.0386,0.7157995515356126
D8,2,141621.0,193877.0,0.0386,0.7304682865940777
E1,2,131806.0,186267.0,0.0413,0.7076186334670124
E2,2,132680.0,190080.0,0.0396,0.6980218855218855
E3,2,124502.0,174266.0,0.0387,0.7144365510197055
E4,2,107333.0,147839.0,0.0388,0.7260127571209221
D1,3,136544.0,164727.0,0.0408,0.8289108646427119
D2,3,130514.0,160689.0,0.0394,0.8122148995886463
D3,3,133731.0,166806.0,0.0397,0.8017157656199417
D4,3,128248.0,161132.0,0.0395,0.7959188739666857
D5,3,107496.0,134158.0,0.0409,0.801264181040266
D6,3,97306.0,129289.0,0.0383,0.7526239664627308
D7,3,138076.0,194169.0,0.0389,0.711112484485165
D8,3,137251.0,190400.0,0.0386,0.7208560924369748
E1,3,129723.0,183154.0,0.0413,0.7082728195944397
E2,3,130195.0,184924.0,0.0396,0.7040459864593022
E3,3,122714.0,171860.0,0.0386,0.7140346793902014
E4,3,106272.0,146240.0,0.0387,0.7266958424507659
