sample_id,replicate,334_373,334_384,600,ratio
A1,1,127955.0,153215.0,0.0405,0.8351336357406259
A2,1,130102.0,160695.0,0.0412,0.8096207100407604
A3,1,120385.0,146151.0,0.0388,0.8237028826350828
A4,1,118429.0,145688.0,0.0394,0.8128946790401406
A5,1,113277.0,139256.0,0.0391,0.813444304015626
A6,1,115232.0,144947.0,0.0411,0.7949940323014619
A7,1,117683.0,149212.0,0.0412,0.7886966195748332
A8,1,129358.0,171235.0,0.0397,0.7554413525272287
B1,1,136532.0,187420.0,0.0413,0.7284814854337851
B2,1,148036.0,206636.0,0.0395,0.7164095317369674
B3,1,143818.0,201240.0,0.0399,0.7146591134963228
B4,1,113018.0,157024.0,0.0399,0.7197498471571224
A1,2,115205.0,144760.0,0.0404,0.7958344846642719
A2,2,119919.0,150889.0,0.0411,0.7947497829530317
A3,2,112778.0,140972.0,0.0388,0.8000028374428965
A4,2,111615.0,140910.0,0.0391,0.7921013412816692
A5,2,109294.0,136749.0,0.0392,0.79923070735435
A6,2,108701.0,137407.0,0.0409,0.7910877902872488
A7,2,109155.0,140956.0,0.0411,0.7743905899713386
A8,2,123456.0,165032.0,0.0399,0.7480731009743565
B1,2,129289.0,178993.0,0.0418,0.7223131630845899
B2,2,142050.0,199784.0,0.0394,0.7110178993312778
B3,2,136763.0,194048.0,0.0401,0.7047895366094987
B4,2,109133.0,153108.0,0.04,0.7127844397418815
A1,3,111192.0,139674.0,0.0406,0.7960823059409768
A2,3,115485.0,144814.0,0.041,0.797471238968608
A3,3,108821.0,136286.0,0.0389,0.7984752652510162
A4,3,107882.0,136935.0,0.0391,0.7878336436995654
A5,3,105333.0,134215.0,0.039,0.7848079573818127
A6,3,105061.0,134716.0,0.0411,0.7798702455536091
A7,3,105028.0,136193.0,0.0413,0.7711703244660152
A8,3,117409.0,156309.0,0.0397,0.7511339718122437
B1,3,128733.0,177021.0,0.042,0.7272188045486129
B2,3,141244.0,195921.0,0.0395,0.7209232292607735
B3,3,136280.0,191792.0,0.0399,0.7105614415616919
B4,3,109396.0,153266.0,0.0401,0.7137656101157465
