sample_id,replicate,334_373,334_384,600,ratio
E5,1,109097.0,132337.0,0.0408,0.8243877373674785
E6,1,101205.0,122845.0,0.0392,0.8238430542553624
E7,1,97783.0,120377.0,0.0391,0.8123063375894066
E8,1,96637.0,121510.0,0.0413,0.7953007982882068
F1,1,92738.0,120483.0,0.0422,0.7697185495049094
F2,1,95821.0,128337.0,0.0393,0.7466358104054169
F3,1,113584.0,155008.0,0.0416,0.7327621800165153
F4,1,120914.0,164978.0,0.0394,0.7329098425244578
F5,1,123551.0,168455.0,0.04,0.7334362292600398
F6,1,122464.0,170130.0,0.0396,0.7198260153999883
F7,1,115093.0,156577.0,0.0403,0.7350568729762353
F8,1,95530.0,127606.0,0.0401,0.7486325094431296
E5,2,99701.0,125456.0,0.0404,0.7947089019257748
E6,2,93933.0,117002.0,0.0393,0.8028324302148682
E7,2,89998.0,113962.0,0.0386,0.7897193801442586
E8,2,88789.0,113506.0,0.0406,0.7822405864007189
F1,2,88073.0,114237.0,0.042,0.7709673748435271
F2,2,93766.0,125520.0,0.0394,0.7470203951561504
F3,2,109093.0,149572.0,0.0418,0.7293677961115717
F4,2,113358.0,160122.0,0.0393,0.7079476898864616
F5,2,119133.0,165208.0,0.04,0.7211091472567914
F6,2,119899.0,167023.0,0.0395,0.7178592169940667
F7,2,112411.0,153801.0,0.0402,0.7308860150454158
F8,2,93887.0,125052.0,0.0403,0.7507836739916195
E5,3,96413.0,121593.0,0.0406,0.792915710608341
E6,3,90960.0,114470.0,0.0393,0.7946186773827204
E7,3,87500.0,111123.0,0.0389,0.7874157465151229
E8,3,86882.0,110596.0,0.0405,0.7855799486419038
F1,3,86493.0,112692.0,0.042,0.7675167713768501
F2,3,92991.0,124447.0,0.0394,0.7472337621638127
F3,3,108089.0,148269.0,0.0418,0.7290060633038599
F4,3,113189.0,159913.0,0.0392,0.7078161250179785
F5,3,118213.0,165188.0,0.04,0.7156270431266194
F6,3,118341.0,165966.0,0.0393,0.7130436354434041
F7,3,110971.0,153420.0,0.0404,0.7233150827792987
F8,3,93525.0,125441.0,0.0403,0.7455696303441458
