concentration,surfactant volume,water volume,probe volume,total volume
0.365,20.95531616137215,954.0446838386279,25,1000.0
0.516,29.624501751419256,945.3754982485807,25,1000.0
0.73,41.9106323227443,933.0893676772557,25,1000.0
1.033,59.30641532793816,915.6935846720619,25,1000.0
1.461,83.87867647058825,891.1213235294117,25,1000.0
2.066,118.61283065587632,856.3871693441237,25,1000.0
2.923,167.81476476627614,807.1852352337239,25,1000.0
4.135,237.3978967870516,737.6021032129484,25,1000.0
5.849,335.80176500785126,639.1982349921487,25,1000.0
8.274,475.0254408745017,499.9745591254983,25,1000.0
11.705,672.0054127914,302.9945872086,25,1000.0
16.558,950.625,24.375,25,1000.0
