concentration,surfactant volume,water volume,probe volume,total volume
0.146,28.599062435606843,946.4009375643932,25,1000.0
0.201,39.372681846280656,935.6273181537193,25,1000.0
0.276,54.063981042654035,920.9360189573459,25,1000.0
0.38,74.43591592829179,900.5640840717082,25,1000.0
0.523,102.44732639604369,872.5526736039564,25,1000.0
0.718,140.64470430661447,834.3552956933855,25,1000.0
0.988,193.53338141355863,781.4666185864414,25,1000.0
1.358,266.0104574490007,708.9895425509993,25,1000.0
1.867,365.71540799505465,609.2845920049454,25,1000.0
2.567,502.8342004945396,472.1657995054604,25,1000.0
3.53,691.4704821759736,283.52951782402636,25,1000.0
4.853,950.6250000000001,24.374999999999886,25,1000.0
