sample_id,replicate,334_373,334_384,600,ratio
E5,1,121740.0,153427.0,0.0405,0.7934718139571262
E6,1,119966.0,146791.0,0.0392,0.8172571887922284
E7,1,108176.0,132371.0,0.0391,0.8172182728845442
E8,1,103007.0,127223.0,0.0409,0.8096570588651423
F1,1,89575.0,112674.0,0.0423,0.7949926336155635
F2,1,100575.0,131862.0,0.0397,0.7627292169085862
F3,1,120084.0,163588.0,0.0419,0.734063623248649
F4,1,125974.0,173019.0,0.0393,0.7280934463845011
F5,1,122371.0,168513.0,0.0402,0.7261813628622125
F6,1,123256.0,170178.0,0.04,0.7242769335636804
F7,1,120087.0,166314.0,0.0406,0.7220498574984667
F8,1,100702.0,135861.0,0.0409,0.7412134460956419
E5,2,111939.0,142742.0,0.0406,0.7842050692858444
E6,2,110937.0,138895.0,0.0394,0.798711256704705
E7,2,100272.0,125342.0,0.0388,0.7999872349252445
E8,2,95458.0,118858.0,0.0408,0.803126419761396
F1,2,85477.0,106553.0,0.0423,0.8022017212091636
F2,2,95119.0,126517.0,0.0396,0.7518278176055392
F3,2,113197.0,154607.0,0.042,0.7321596046750793
F4,2,119707.0,166325.0,0.0394,0.7197174207124606
F5,2,117535.0,163268.0,0.0402,0.7198899968150525
F6,2,119938.0,167121.0,0.04,0.7176716271444044
F7,2,116724.0,161553.0,0.0408,0.7225121167666338
F8,2,97398.0,131518.0,0.0408,0.7405678310193281
E5,3,107851.0,137256.0,0.0409,0.785765285306289
E6,3,106341.0,134046.0,0.0394,0.7933172194619758
E7,3,96177.0,121105.0,0.0388,0.7941620907476983
E8,3,91558.0,114675.0,0.0409,0.7984129060388053
F1,3,83797.0,103856.0,0.0423,0.8068575720228008
F2,3,94144.0,124357.0,0.0397,0.7570462458888523
F3,3,111757.0,153335.0,0.0418,0.7288420778035022
F4,3,118274.0,163444.0,0.0395,0.7236362301461051
F5,3,115730.0,162102.0,0.0404,0.71393320255148
F6,3,118202.0,165595.0,0.0398,0.713801745221776
F7,3,115996.0,161522.0,0.0408,0.7181436584490039
F8,3,96538.0,130690.0,0.041,0.7386793174688193
