sample_id,replicate,334_373,334_384,600,ratio
D1,1,148363.0,186444.0,0.0403,0.7957510029821286
D2,1,140460.0,183960.0,0.0396,0.7635355512067841
D3,1,142411.0,177947.0,0.0394,0.8003000893524477
D4,1,133424.0,165622.0,0.0432,0.8055934598060644
D5,1,130683.0,158373.0,0.0414,0.8251595915970525
D6,1,112151.0,136000.0,0.0391,0.8246397058823529
D7,1,92591.0,116390.0,0.0391,0.7955236704184209
D8,1,127678.0,172661.0,0.0394,0.7394721448387302
E1,1,125218.0,172684.0,0.0423,0.7251279794306363
E2,1,123488.0,173948.0,0.0404,0.7099133074252075
E3,1,119870.0,165862.0,0.04,0.7227092402117423
E4,1,97604.0,132257.0,0.0412,0.7379874033132462
D1,2,136338.0,167333.0,0.0404,0.814770547351688
D2,2,131724.0,167369.0,0.0397,0.7870274662571922
D3,2,127414.0,162555.0,0.0394,0.7838208606317861
D4,2,120677.0,152667.0,0.0401,0.7904589727970026
D5,2,120116.0,148460.0,0.0413,0.8090798868382055
D6,2,105137.0,129358.0,0.0389,0.8127599375376862
D7,2,87631.0,110735.0,0.0392,0.7913577459701088
D8,2,121612.0,162397.0,0.0394,0.7488561980824769
E1,2,118882.0,165121.0,0.0422,0.7199689924358501
E2,2,118493.0,166863.0,0.0405,0.7101214769002115
E3,2,116770.0,160966.0,0.0401,0.7254327000733074
E4,2,93027.0,127715.0,0.0408,0.7283952550600947
D1,3,128413.0,159805.0,0.0403,0.8035605894684146
D2,3,123885.0,157098.0,0.0398,0.7885841958522706
D3,3,120451.0,152227.0,0.0394,0.7912591064660014
D4,3,115561.0,145207.0,0.0398,0.7958362888841447
D5,3,114929.0,143854.0,0.0415,0.7989280798587457
D6,3,100466.0,125803.0,0.039,0.7985978076834416
D7,3,84829.0,109027.0,0.0392,0.7780549772074807
D8,3,118377.0,158509.0,0.0395,0.7468156382287441
E1,3,117384.0,163039.0,0.0422,0.7199749753126553
E2,3,117414.0,165311.0,0.0405,0.7102612651305721
E3,3,115272.0,159638.0,0.0402,0.7220837144038387
E4,3,93089.0,127212.0,0.0411,0.7317627267867811
