sample_id,replicate,334_373,334_384,600,ratio
A1,1,157676.0,187659.0,0.0398,0.8402261548873222
A2,1,158682.0,192684.0,0.0388,0.8235349068941894
A3,1,169874.0,214161.0,0.0398,0.7932069797955743
A4,1,206880.0,285649.0,0.0408,0.7242454900944866
A5,1,239737.0,344112.0,0.0392,0.6966830566792207
A6,1,250127.0,361885.0,0.0402,0.6911781367008857
A7,1,251172.0,365740.0,0.0406,0.6867501503800514
A8,1,254922.0,372794.0,0.0406,0.6838146536693187
B1,1,246298.0,375927.0,0.0409,0.6551750738840254
B2,1,254121.0,389084.0,0.0406,0.6531263171962867
B3,1,260764.0,409980.0,0.0403,0.636040782477194
B4,1,237240.0,355906.0,0.0433,0.6665805015931173
A1,2,138061.0,175233.0,0.0399,0.7878710060319689
A2,2,140323.0,177794.0,0.0391,0.7892448564068528
A3,2,148784.0,193195.0,0.0395,0.7701234503998551
A4,2,184371.0,261893.0,0.0407,0.7039936157132874
A5,2,223102.0,320610.0,0.0391,0.6958672530488755
A6,2,233989.0,340921.0,0.0401,0.6863437570580868
A7,2,235836.0,343912.0,0.0404,0.6857451906301611
A8,2,237940.0,348883.0,0.0406,0.6820051421250104
B1,2,237520.0,359665.0,0.0409,0.6603923095102386
B2,2,245885.0,375680.0,0.04,0.6545064948892675
B3,2,255477.0,395463.0,0.0403,0.6460199816417718
B4,2,227710.0,352948.0,0.0434,0.6451658601267042
A1,3,129941.0,165052.0,0.0398,0.7872731018103386
A2,3,133219.0,169322.0,0.0389,0.7867790363921995
A3,3,140076.0,184128.0,0.0396,0.7607533889468197
A4,3,171897.0,253751.0,0.0405,0.6774239313342607
A5,3,215465.0,312302.0,0.0392,0.6899251365665285
A6,3,228709.0,332512.0,0.0401,0.6878217928977
A7,3,229092.0,336657.0,0.0407,0.6804908259742112
A8,3,231063.0,340820.0,0.0405,0.677961974062555
B1,3,231841.0,352227.0,0.0412,0.6582147308411905
B2,3,239135.0,366025.0,0.04,0.6533296905949048
B3,3,248880.0,387049.0,0.0403,0.6430193593059277
B4,3,226112.0,344430.0,0.0435,0.6564817234271114
