sample_id,replicate,334_373,334_384,600,ratio
E5,1,122956.0,153787.0,0.0419,0.799521415984446
E6,1,147215.0,179848.0,0.0395,0.8185523330812686
E7,1,111339.0,135361.0,0.0404,0.8225338169783024
E8,1,99538.0,122527.0,0.0406,0.8123760477282558
F1,1,87250.0,109189.0,0.0422,0.7990731667109324
F2,1,116054.0,157066.0,0.0416,0.7388868373804642
F3,1,110373.0,150010.0,0.0408,0.7357709486034264
F4,1,119613.0,161760.0,0.0416,0.7394473293768546
F5,1,131896.0,180117.0,0.0404,0.7322795738325644
F6,1,132154.0,180396.0,0.0404,0.7325772190070733
F7,1,122095.0,167356.0,0.0401,0.7295525705681302
F8,1,98425.0,133608.0,0.0418,0.7366699598826417
E5,2,113549.0,142069.0,0.0416,0.7992524759095933
E6,2,132991.0,168054.0,0.0392,0.7913587299320457
E7,2,103442.0,128708.0,0.0404,0.8036951860024241
E8,2,94446.0,114783.0,0.0406,0.8228221949243355
F1,2,83053.0,103866.0,0.0425,0.7996168139718484
F2,2,109269.0,149290.0,0.0414,0.7319244423605064
F3,2,105809.0,144924.0,0.0407,0.7300999144379123
F4,2,113712.0,156414.0,0.0416,0.726993747362768
F5,2,126157.0,176527.0,0.0405,0.7146612132988155
F6,2,127585.0,178454.0,0.0404,0.714946148587311
F7,2,120308.0,167053.0,0.0401,0.7201786259450593
F8,2,98143.0,132318.0,0.0417,0.7417207031545217
E5,3,108482.0,137046.0,0.0419,0.7915736322110825
E6,3,125660.0,160175.0,0.0392,0.7845169346027782
E7,3,99043.0,124000.0,0.0406,0.798733870967742
E8,3,90210.0,110880.0,0.0406,0.8135822510822511
F1,3,80992.0,101331.0,0.0425,0.7992815624043975
F2,3,107448.0,146187.0,0.0415,0.7350037965072134
F3,3,103845.0,142082.0,0.0408,0.7308807589983249
F4,3,112080.0,155223.0,0.0418,0.7220579424440966
F5,3,124471.0,175315.0,0.0403,0.7099848843510252
F6,3,124357.0,176353.0,0.0406,0.7051595379721355
F7,3,118291.0,163884.0,0.0402,0.7217971247955871
F8,3,96704.0,130537.0,0.0418,0.7408167799168052
