sample_id,replicate,334_373,334_384,600,ratio
D1,1,144558.0,183153.0,0.0409,0.7892745409575601
D2,1,145132.0,183224.0,0.0528,0.7921014714229577
D3,1,140347.0,173800.0,0.0407,0.8075201380897583
D4,1,142693.0,174941.0,0.0392,0.8156635665738735
D5,1,135564.0,166075.0,0.0394,0.8162818003913894
D6,1,106206.0,129323.0,0.0391,0.8212460273887863
D7,1,104105.0,133639.0,0.04,0.7790016387431813
D8,1,143464.0,191446.0,0.049,0.7493705796934906
E1,1,134191.0,184500.0,0.041,0.7273224932249323
E2,1,124719.0,176523.0,0.0426,0.7065311602454071
E3,1,124894.0,171511.0,0.041,0.7281981913696498
E4,1,101459.0,138735.0,0.042,0.7313150971276174
D1,2,130145.0,167065.0,0.041,0.7790081704725705
D2,2,132261.0,167884.0,0.0524,0.7878118224488337
D3,2,126182.0,157639.0,0.0405,0.8004491274367384
D4,2,131311.0,163015.0,0.0393,0.8055148299236267
D5,2,126203.0,154968.0,0.0393,0.8143810335036911
D6,2,101207.0,124797.0,0.0393,0.8109730201847801
D7,2,97483.0,127187.0,0.04,0.7664541187385503
D8,2,133963.0,178730.0,0.0489,0.749527219828792
E1,2,128171.0,179266.0,0.0411,0.7149766269119632
E2,2,120066.0,169881.0,0.0428,0.7067653239620676
E3,2,119335.0,166879.0,0.041,0.715098963919966
E4,2,99576.0,137140.0,0.042,0.7260901268776433
D1,3,124794.0,159087.0,0.0408,0.7844387033509966
D2,3,123498.0,158142.0,0.0499,0.7809310619569754
D3,3,119572.0,150317.0,0.0407,0.795465582735153
D4,3,123037.0,154791.0,0.039,0.7948588742239536
D5,3,118275.0,148337.0,0.0396,0.7973398410376372
D6,3,96460.0,119931.0,0.039,0.8042958034203
D7,3,93546.0,121763.0,0.0401,0.768262937016992
D8,3,127892.0,172807.0,0.0492,0.740085760414798
E1,3,124763.0,173912.0,0.041,0.7173915543493261
E2,3,118569.0,167772.0,0.0427,0.706726986624705
E3,3,117058.0,165458.0,0.0408,0.7074786350614658
E4,3,98523.0,136056.0,0.042,0.7241356500264597
