sample_id,replicate,334_373,334_384,600,ratio
E5,1,176888.0,223767.0,0.042,0.790500833456229
E6,1,158263.0,193624.0,0.0389,0.8173728463413626
E7,1,175207.0,214447.0,0.0387,0.8170177246592398
E8,1,217557.0,273204.0,0.0404,0.7963170378178943
F1,1,174569.0,213493.0,0.0427,0.8176802049715916
F2,1,180609.0,236182.0,0.0395,0.7647026445707125
F3,1,204670.0,283795.0,0.0414,0.7211895910780669
F4,1,222900.0,320423.0,0.039,0.6956429469794615
F5,1,222370.0,328599.0,0.04,0.6767214751110016
F6,1,239948.0,356575.0,0.0393,0.6729243497160485
F7,1,264955.0,399929.0,0.0413,0.6625050946543012
F8,1,245769.0,369393.0,0.0397,0.6653320447328455
E5,2,160443.0,203858.0,0.0424,0.7870331309048455
E6,2,142023.0,178502.0,0.0389,0.7956381441104301
E7,2,155518.0,194778.0,0.0387,0.7984371951657785
E8,2,192265.0,241433.0,0.0404,0.7963492977347753
F1,2,158821.0,202378.0,0.0422,0.7847740367035942
F2,2,166022.0,221928.0,0.0395,0.7480894704588875
F3,2,187908.0,262337.0,0.0415,0.7162847787387978
F4,2,206861.0,301707.0,0.0389,0.6856354012336472
F5,2,208140.0,307926.0,0.0396,0.6759416223378344
F6,2,224946.0,340771.0,0.0406,0.6601089881474655
F7,2,249764.0,383432.0,0.0415,0.6513905985937533
F8,2,236314.0,364876.0,0.0401,0.647655641916706
E5,3,152091.0,196812.0,0.0428,0.7727730016462411
E6,3,132783.0,168751.0,0.0389,0.7868575593626111
E7,3,145941.0,186645.0,0.0387,0.781917544000643
E8,3,181978.0,231687.0,0.0406,0.7854476081955397
F1,3,152883.0,196810.0,0.042,0.7768050403942889
F2,3,159272.0,214453.0,0.0393,0.742689540365488
F3,3,177738.0,254263.0,0.0414,0.6990321045531596
F4,3,197989.0,291491.0,0.0388,0.6792285182046787
F5,3,198867.0,299455.0,0.0398,0.6640964418693961
F6,3,218186.0,331311.0,0.0393,0.6585534437431899
F7,3,242245.0,375036.0,0.0411,0.6459246578995083
F8,3,233174.0,361846.0,0.0399,0.6444012093542557
