sample_id,replicate,334_373,334_384,600,ratio
D1,1,158056.0,197573.0,0.0404,0.7999878525911941
D2,1,160878.0,190796.0,0.0395,0.8431937776473302
D3,1,180891.0,219032.0,0.0394,0.8258656269403557
D4,1,180475.0,217821.0,0.0398,0.8285472934198264
D5,1,184396.0,221042.0,0.0412,0.8342125026013156
D6,1,207803.0,259085.0,0.0385,0.8020649593762664
D7,1,233050.0,338022.0,0.0391,0.6894521658353598
D8,1,252449.0,370613.0,0.0393,0.6811660681087819
E1,1,241087.0,372981.0,0.0413,0.6463787699641537
E2,1,257333.0,403135.0,0.0399,0.6383295918240788
E3,1,256935.0,403227.0,0.0386,0.6371969138971348
E4,1,255941.0,400835.0,0.0393,0.6385195903551336
D1,2,147416.0,181379.0,0.0405,0.8127512005248678
D2,2,145079.0,176872.0,0.0394,0.8202485413180153
D3,2,164337.0,201161.0,0.0391,0.8169426479287735
D4,2,162000.0,199860.0,0.0399,0.8105673971780246
D5,2,164907.0,205180.0,0.041,0.803718686031777
D6,2,188200.0,244482.0,0.0386,0.7697908230462774
D7,2,223532.0,320953.0,0.0391,0.696463345100373
D8,2,236625.0,356166.0,0.039,0.6643671771028116
E1,2,232983.0,354024.0,0.0413,0.6580994508846858
E2,2,249098.0,389464.0,0.04,0.6395918493108478
E3,2,248775.0,390488.0,0.0388,0.6370874393067136
E4,2,249165.0,389524.0,0.0394,0.6396653351269755
D1,3,139796.0,173457.0,0.0403,0.805940377153992
D2,3,137694.0,170288.0,0.0395,0.8085948510758245
D3,3,154668.0,193571.0,0.0391,0.7990246472870419
D4,3,151664.0,191200.0,0.0398,0.7932217573221757
D5,3,153667.0,194971.0,0.0412,0.7881531099496848
D6,3,176322.0,233170.0,0.0387,0.7561950508212892
D7,3,211624.0,307554.0,0.0389,0.68808729523921
D8,3,233383.0,352664.0,0.0389,0.6617715445863485
E1,3,227722.0,349948.0,0.0412,0.6507309657434819
E2,3,244924.0,381828.0,0.0399,0.6414511245901295
E3,3,243641.0,384620.0,0.0387,0.6334589984920181
E4,3,246095.0,384329.0,0.0395,0.6403237850903784
