concentration,surfactant volume,water volume,probe volume,total volume
0.186,31.30045140732873,943.6995485926712,25,1000.0
0.254,42.743627190653214,932.2563728093468,25,1000.0
0.346,58.22557089750398,916.774429102496,25,1000.0
0.472,79.429102496017,895.570897503983,25,1000.0
0.644,108.37360594795538,866.6263940520446,25,1000.0
0.878,147.7515932023367,827.2484067976633,25,1000.0
1.198,201.6018321826872,773.3981678173128,25,1000.0
1.633,274.80450079660113,700.1954992033989,25,1000.0
2.228,374.9322889006904,600.0677110993096,25,1000.0
3.038,511.24070631970255,463.75929368029745,25,1000.0
4.143,697.1923127987254,277.8076872012746,25,1000.0
5.649,950.6249999999999,24.375000000000114,25,1000.0
