sample_id,replicate,334_373,334_384,600,ratio
E5,1,135549.0,171709.0,0.0406,0.7894111549190782
E6,1,142976.0,179131.0,0.0393,0.7981644718111326
E7,1,166784.0,202752.0,0.0394,0.82260101010101
E8,1,142156.0,173454.0,0.0404,0.8195602292250395
F1,1,118055.0,143604.0,0.0423,0.8220871284922425
F2,1,105873.0,129443.0,0.0398,0.8179121312083311
F3,1,91297.0,121659.0,0.041,0.7504335889658801
F4,1,135033.0,187668.0,0.0388,0.7195312999552401
F5,1,128514.0,176889.0,0.0399,0.7265234129878059
F6,1,133299.0,184010.0,0.039,0.7244117167545242
F7,1,120517.0,164638.0,0.0398,0.7320120506808878
F8,1,102952.0,138691.0,0.0399,0.7423120462034306
E5,2,121793.0,152943.0,0.0406,0.7963293514577326
E6,2,129883.0,160482.0,0.0393,0.809330641442654
E7,2,146899.0,182118.0,0.0392,0.8066143928661637
E8,2,126864.0,155970.0,0.0402,0.8133871898442008
F1,2,110531.0,135382.0,0.0424,0.816437931187307
F2,2,97288.0,122156.0,0.0397,0.7964242444087888
F3,2,90392.0,120913.0,0.0409,0.7475788376766767
F4,2,126376.0,179582.0,0.0388,0.7037230902874453
F5,2,122801.0,171124.0,0.0399,0.7176141277669994
F6,2,128447.0,177646.0,0.0389,0.7230503360616056
F7,2,115844.0,160650.0,0.0401,0.7210955493308434
F8,2,99588.0,134115.0,0.0399,0.7425567609887037
E5,3,116792.0,146509.0,0.0405,0.7971660444068283
E6,3,124092.0,155547.0,0.039,0.7977781635132789
E7,3,141165.0,174876.0,0.0393,0.8072291223495506
E8,3,121067.0,149904.0,0.0403,0.8076302166720034
F1,3,107245.0,133512.0,0.0426,0.8032611300856852
F2,3,96255.0,119638.0,0.0397,0.8045520653972817
F3,3,89397.0,120043.0,0.0409,0.7447081462475946
F4,3,125780.0,179480.0,0.039,0.700802317806998
F5,3,121960.0,171346.0,0.0398,0.7117761721896047
F6,3,126717.0,177062.0,0.039,0.7156645694728401
F7,3,116084.0,160012.0,0.0399,0.725470589705772
F8,3,99014.0,133709.0,0.04,0.7405185888758423
