sample_id,replicate,334_373,334_384,600,ratio
B5,1,140927.0,174108.0,0.0409,0.8094228869437361
B6,1,178171.0,223666.0,0.0403,0.7965940285962104
B7,1,150549.0,183534.0,0.0393,0.820278531498251
B8,1,161209.0,197681.0,0.0409,0.8155007309756628
C1,1,128293.0,163133.0,0.0392,0.7864319297750915
C2,1,130611.0,164719.0,0.0394,0.79293220575647
C3,1,150168.0,203966.0,0.0406,0.7362403537844543
C4,1,174766.0,249253.0,0.04,0.7011590632810839
C5,1,176951.0,249985.0,0.0394,0.7078464707882473
C6,1,173100.0,239738.0,0.0389,0.7220382250623597
C7,1,157533.0,217078.0,0.04,0.725697675489916
C8,1,130177.0,177526.0,0.0401,0.7332841386613792
B5,2,126633.0,159713.0,0.0408,0.7928784757659051
B6,2,159963.0,203219.0,0.0404,0.787145886949547
B7,2,137918.0,171145.0,0.0395,0.8058546846241491
B8,2,146871.0,181455.0,0.041,0.8094072910639002
C1,2,119068.0,150599.0,0.0394,0.7906294198500654
C2,2,119640.0,152542.0,0.0394,0.7843085838654272
C3,2,138300.0,195918.0,0.0405,0.7059075735767004
C4,2,164900.0,238647.0,0.04,0.690978725900598
C5,2,167412.0,241748.0,0.0392,0.6925062461737015
C6,2,159699.0,229457.0,0.0387,0.6959866118706337
C7,2,147341.0,208019.0,0.0399,0.7083054913253116
C8,2,122918.0,171322.0,0.0401,0.7174676924154516
B5,3,121086.0,153413.0,0.0407,0.7892812212785096
B6,3,152644.0,194326.0,0.0404,0.7855047703343866
B7,3,132619.0,163919.0,0.0393,0.809052031796192
B8,3,139945.0,172516.0,0.0408,0.811200120568527
C1,3,117991.0,145728.0,0.0395,0.8096659530083443
C2,3,118034.0,148400.0,0.0391,0.795377358490566
C3,3,137074.0,192087.0,0.0406,0.7136037316424328
C4,3,165182.0,238127.0,0.04,0.6936718641733193
C5,3,165757.0,240408.0,0.0392,0.6894820471864497
C6,3,158921.0,226939.0,0.0389,0.7002806921683801
C7,3,144399.0,203568.0,0.0401,0.7093403678377741
C8,3,123571.0,171495.0,0.04,0.7205516195807458
