sample_id,replicate,334_373,334_384,600,ratio
A1,1,159442.0,193275.0,0.0397,0.8249489069978011
A2,1,162547.0,201668.0,0.0417,0.8060128528075847
A3,1,156366.0,196567.0,0.0391,0.7954844912930451
A4,1,153320.0,189201.0,0.0397,0.8103551249729124
A5,1,154942.0,192059.0,0.0393,0.8067416783384272
A6,1,160862.0,212221.0,0.0412,0.757992847079224
A7,1,186537.0,247361.0,0.0414,0.7541083679318891
A8,1,198274.0,273320.0,0.0405,0.7254280696619347
B1,1,181486.0,259304.0,0.0413,0.6998966464073058
B2,1,169375.0,242539.0,0.0397,0.6983412976882069
B3,1,156392.0,219945.0,0.0398,0.711050489895201
B4,1,123897.0,170945.0,0.0401,0.7247769750504548
A1,2,144745.0,183796.0,0.0399,0.7875307406037129
A2,2,149360.0,187046.0,0.0416,0.7985201501234991
A3,2,146455.0,182638.0,0.0391,0.8018867924528302
A4,2,144293.0,181130.0,0.0395,0.7966267321813062
A5,2,145901.0,183820.0,0.0394,0.7937166793602437
A6,2,155102.0,202306.0,0.0411,0.7666702915385604
A7,2,173516.0,235573.0,0.0415,0.7365699804306945
A8,2,188511.0,264396.0,0.0405,0.7129873371760541
B1,2,172625.0,249900.0,0.0417,0.6907763105242097
B2,2,162088.0,235894.0,0.0399,0.6871221819969987
B3,2,147466.0,211310.0,0.0399,0.6978656949505466
B4,2,118960.0,165744.0,0.0402,0.7177333719470992
A1,3,136595.0,175198.0,0.0398,0.7796607267206247
A2,3,141373.0,181228.0,0.0414,0.7800836515328757
A3,3,138985.0,177538.0,0.0392,0.7828464892023116
A4,3,138107.0,176147.0,0.0395,0.7840440086972813
A5,3,138674.0,177456.0,0.0392,0.7814556847894689
A6,3,149148.0,195736.0,0.0413,0.761985531532268
A7,3,167747.0,232390.0,0.0414,0.7218339859718577
A8,3,183907.0,258108.0,0.0405,0.7125195654532211
B1,3,171025.0,243898.0,0.0412,0.7012152621177705
B2,3,158877.0,230733.0,0.04,0.6885751062916878
B3,3,145839.0,206491.0,0.0399,0.7062729126208891
B4,3,118613.0,165511.0,0.0403,0.7166472319060364
