sample_id,replicate,334_373,334_384,600,ratio
A1,1,82470.0,104362.0,0.0406,0.7902301604032119
A2,1,82557.0,100295.0,0.0399,0.8231417318909218
A3,1,79670.0,97415.0,0.0392,0.8178411948878509
A4,1,76005.0,94286.0,0.0403,0.8061111936024437
A5,1,79390.0,100097.0,0.0403,0.793130663256641
A6,1,83306.0,106772.0,0.0395,0.7802232795114824
A7,1,91772.0,121804.0,0.0406,0.7534399527109126
A8,1,96938.0,132814.0,0.0418,0.7298778743204782
B1,1,95042.0,134235.0,0.05,0.7080269676313927
B2,1,99776.0,147744.0,0.0394,0.6753303010612952
B3,1,103129.0,152663.0,0.0402,0.675533691857228
B4,1,93266.0,138620.0,0.0389,0.672817775212812
A1,2,74680.0,92339.0,0.0405,0.808759029229253
A2,2,72863.0,90166.0,0.0399,0.808098396291285
A3,2,71602.0,89151.0,0.0395,0.803154199055535
A4,2,68642.0,87916.0,0.0405,0.7807680058237408
A5,2,72149.0,94556.0,0.0404,0.7630293159609121
A6,2,76429.0,100789.0,0.0394,0.7583069581005863
A7,2,85293.0,114021.0,0.0406,0.74804641250296
A8,2,90055.0,123557.0,0.0417,0.7288538892980567
B1,2,89864.0,127542.0,0.05,0.704583588151354
B2,2,95594.0,141278.0,0.0395,0.6766375514942171
B3,2,97780.0,147012.0,0.0401,0.6651157728620792
B4,2,91223.0,137243.0,0.0391,0.6646823517410724
A1,3,72256.0,89934.0,0.0408,0.8034336291057886
A2,3,70775.0,87367.0,0.0398,0.8100884773427037
A3,3,69179.0,86492.0,0.0395,0.7998311982611108
A4,3,67168.0,85835.0,0.0404,0.7825246111725986
A5,3,70328.0,92263.0,0.0401,0.7622557254804201
A6,3,74811.0,99230.0,0.0395,0.7539151466290437
A7,3,83231.0,112477.0,0.0407,0.739982396401042
A8,3,87938.0,121733.0,0.0418,0.722384234348944
B1,3,89574.0,126588.0,0.0501,0.7076026163617405
B2,3,95256.0,139199.0,0.0393,0.6843152608854949
B3,3,97214.0,145940.0,0.04,0.666123064272989
B4,3,93044.0,139710.0,0.0389,0.6659795290244077
