sample_id,replicate,334_373,334_384,600,ratio
B5,1,64776.0,83613.0,0.0411,0.7747120663054788
B6,1,65350.0,82899.0,0.0396,0.7883086647607329
B7,1,70727.0,93080.0,0.0405,0.7598517404383326
B8,1,71867.0,94811.0,0.0391,0.7580027633924333
C1,1,71575.0,95249.0,0.0399,0.7514514588079665
C2,1,71745.0,97556.0,0.0399,0.7354237566115872
C3,1,73898.0,101053.0,0.0386,0.7312796255430318
C4,1,73050.0,100533.0,0.0384,0.726627077675987
C5,1,76412.0,103890.0,0.0398,0.7355087111367793
C6,1,78279.0,108225.0,0.0408,0.7232986832986833
C7,1,83906.0,115559.0,0.0408,0.7260879723777465
C8,1,81891.0,111782.0,0.0423,0.7325955878406184
B5,2,60609.0,77742.0,0.0415,0.7796171953384271
B6,2,61004.0,76927.0,0.0397,0.793011556410623
B7,2,65517.0,86274.0,0.0406,0.7594060783086446
B8,2,66527.0,87161.0,0.0391,0.7632656807517123
C1,2,67137.0,88645.0,0.0406,0.7573692819673981
C2,2,66922.0,89774.0,0.0398,0.7454496847639629
C3,2,68696.0,93662.0,0.0383,0.7334457944523927
C4,2,69135.0,95785.0,0.0386,0.7217727201545127
C5,2,71906.0,99358.0,0.0398,0.7237061937639646
C6,2,74137.0,103169.0,0.0409,0.7185976407641831
C7,2,79974.0,109705.0,0.041,0.7289913859896997
C8,2,77653.0,106366.0,0.0422,0.7300547167327905
B5,3,59193.0,76325.0,0.0414,0.775538814281035
B6,3,59734.0,75909.0,0.0396,0.7869159124741467
B7,3,64458.0,84738.0,0.0407,0.7606740777455215
B8,3,64836.0,85301.0,0.0391,0.7600848759100127
C1,3,65614.0,86083.0,0.0407,0.7622178595076844
C2,3,65859.0,88127.0,0.0398,0.7473192097767994
C3,3,67741.0,92217.0,0.0385,0.7345825606992203
C4,3,68236.0,94645.0,0.0386,0.7209678271435364
C5,3,71250.0,98238.0,0.04,0.7252794234410309
C6,3,73537.0,102436.0,0.0411,0.7178823850989886
C7,3,79120.0,109412.0,0.0409,0.7231382298102584
C8,3,77276.0,105976.0,0.0424,0.7291839661810221
