concentration,surfactant volume,water volume,probe volume,total volume
0.109,19.071990612921038,955.928009387079,25,1000.0
0.155,27.120720596355604,947.8792794036444,25,1000.0
0.221,38.66889839867476,936.3311016013253,25,1000.0
0.316,55.29127553837659,919.7087244616234,25,1000.0
0.451,78.9125483158476,896.0874516841524,25,1000.0
0.643,112.5072473771397,862.4927526228603,25,1000.0
0.918,160.6246548868029,814.3753451131971,25,1000.0
1.31,229.2138321369409,745.7861678630591,25,1000.0
1.869,327.02339867476536,647.9766013252347,25,1000.0
2.667,466.6513666482606,508.3486333517394,25,1000.0
3.807,666.1198923246825,308.8801076753175,25,1000.0
5.433,950.625,24.375,25,1000.0
