concentration,surfactant volume,water volume,probe volume,total volume
0.091,19.10065687789799,955.899343122102,25,1000.0
0.129,27.07675535438287,947.9232446456172,25,1000.0
0.184,38.62110841245308,936.378891587547,25,1000.0
0.263,55.20299735040849,919.7970026495915,25,1000.0
0.376,78.92139545153456,896.0786045484655,25,1000.0
0.536,112.50496798410246,862.4950320158976,25,1000.0
0.765,160.57145617134026,814.4285438286597,25,1000.0
1.092,229.2078825347759,745.7921174652241,25,1000.0
1.558,327.0200375358799,647.97996246412,25,1000.0
2.224,466.8116582026938,508.1883417973062,25,1000.0
3.174,666.2141201148157,308.7858798851843,25,1000.0
4.529,950.625,24.375,25,1000.0
