sample_id,replicate,334_373,334_384,600,ratio
D1,1,99179.0,120981.0,0.0432,0.8197898843620073
D2,1,88944.0,107180.0,0.0403,0.8298563164769547
D3,1,91282.0,115693.0,0.0402,0.7890019275150614
D4,1,112012.0,155294.0,0.0395,0.7212899403711669
D5,1,117077.0,165064.0,0.0397,0.7092824601366743
D6,1,129424.0,183376.0,0.0392,0.7057848355291859
D7,1,131860.0,189345.0,0.0399,0.6964007499537881
D8,1,137483.0,200363.0,0.0395,0.6861696021720577
E1,1,137002.0,209764.0,0.0428,0.6531244636829961
E2,1,127778.0,195220.0,0.041,0.6545333469931359
E3,1,129247.0,199115.0,0.0411,0.6491072998016222
E4,1,116020.0,179116.0,0.0396,0.647736662274727
D1,2,89535.0,109644.0,0.0431,0.8165973514282587
D2,2,79089.0,95987.0,0.0404,0.8239553272839031
D3,2,80778.0,101864.0,0.0401,0.7929985078143407
D4,2,100821.0,140995.0,0.0391,0.7150679102095819
D5,2,105841.0,151930.0,0.0397,0.6966431909431975
D6,2,118087.0,172872.0,0.0391,0.6830892220833912
D7,2,121502.0,178399.0,0.0398,0.6810688400719735
D8,2,127563.0,190816.0,0.0394,0.6685131225893007
E1,2,131016.0,203290.0,0.043,0.6444783314476856
E2,2,122806.0,190619.0,0.0409,0.6442484747060891
E3,2,124091.0,192702.0,0.0413,0.643952839098712
E4,2,112122.0,174870.0,0.0401,0.6411734431291817
D1,3,86047.0,106889.0,0.0429,0.8050126767019993
D2,3,74996.0,92231.0,0.0403,0.8131322440394227
D3,3,76035.0,97001.0,0.0401,0.7838578983721818
D4,3,96540.0,136736.0,0.0392,0.7060320617832905
D5,3,102372.0,147965.0,0.0398,0.6918663197377758
D6,3,115279.0,169734.0,0.0391,0.6791744729989277
D7,3,119603.0,176907.0,0.04,0.676078391471225
D8,3,126085.0,188804.0,0.0393,0.6678089447257474
E1,3,130424.0,199796.0,0.0432,0.6527858415583896
E2,3,122103.0,188055.0,0.0412,0.6492940894950945
E3,3,122381.0,189412.0,0.0412,0.6461100669440162
E4,3,111116.0,172033.0,0.04,0.6458993332674545
