sample_id,replicate,334_373,334_384,600,ratio
B5,1,74657.0,92424.0,0.0425,0.8077663810265732
B6,1,79791.0,96839.0,0.0392,0.8239552246512253
B7,1,77166.0,91617.0,0.0397,0.8422672648089329
B8,1,79220.0,91422.0,0.039,0.8665310319179191
C1,1,82243.0,101191.0,0.0427,0.8127501457639513
C2,1,77864.0,103482.0,0.0398,0.7524400378809841
C3,1,94019.0,129909.0,0.0392,0.7237296877044701
C4,1,94840.0,133859.0,0.0389,0.7085067122868093
C5,1,100852.0,142990.0,0.0397,0.7053080635009441
C6,1,104668.0,148445.0,0.0413,0.7050961635622621
C7,1,104940.0,149054.0,0.0408,0.7040401465240785
C8,1,104408.0,149889.0,0.0407,0.6965687942410718
B5,2,65927.0,83344.0,0.0421,0.7910227490881168
B6,2,70232.0,86209.0,0.0392,0.8146713220197427
B7,2,66785.0,80561.0,0.0399,0.828999143506163
B8,2,67229.0,81000.0,0.0392,0.8299876543209876
C1,2,75046.0,94146.0,0.0425,0.7971236165105262
C2,2,71531.0,92835.0,0.04,0.770517584962568
C3,2,83686.0,115191.0,0.039,0.7264977298573674
C4,2,86704.0,123996.0,0.0388,0.6992483628504146
C5,2,93074.0,133076.0,0.0396,0.6994048513631308
C6,2,97694.0,141539.0,0.0413,0.6902267219635577
C7,2,98949.0,141960.0,0.0406,0.6970202874049027
C8,2,100446.0,142292.0,0.0407,0.7059145981502826
B5,3,61528.0,78123.0,0.0422,0.7875785620111875
B6,3,66313.0,81596.0,0.0393,0.8126991519192117
B7,3,63370.0,76739.0,0.0399,0.8257861061520217
B8,3,63976.0,77612.0,0.0391,0.8243055197649848
C1,3,74059.0,92791.0,0.0425,0.7981269735211389
C2,3,69379.0,90255.0,0.04,0.7686997950252064
C3,3,81189.0,112129.0,0.0387,0.7240678147490837
C4,3,85391.0,121528.0,0.0387,0.7026446580211968
C5,3,90768.0,130803.0,0.0396,0.693929038324809
C6,3,96060.0,139701.0,0.0411,0.687611398629931
C7,3,97155.0,139851.0,0.0409,0.6947036488834545
C8,3,99936.0,141251.0,0.0406,0.7075064955292352
