concentration,surfactant volume,water volume,probe volume,total volume
0.267,31.954787234042552,943.0452127659574,25,1000.0
0.363,43.444148936170215,931.5558510638298,25,1000.0
0.494,59.12234042553192,915.8776595744681,25,1000.0
0.673,80.54521276595746,894.4547872340426,25,1000.0
0.916,109.62765957446808,865.3723404255319,25,1000.0
1.247,149.24202127659575,825.7579787234042,25,1000.0
1.698,203.21808510638297,771.781914893617,25,1000.0
2.312,276.70212765957444,698.2978723404256,25,1000.0
3.148,376.7553191489362,598.2446808510638,25,1000.0
4.285,512.8324468085107,462.16755319148933,25,1000.0
5.834,698.218085106383,276.781914893617,25,1000.0
7.943,950.6249999999999,24.375000000000114,25,1000.0
