concentration,surfactant volume,water volume,probe volume,total volume
0.132,22.213223579394587,952.7867764206054,25,1000.0
0.186,31.30045140732873,943.6995485926712,25,1000.0
0.262,44.08988316516198,930.910116834838,25,1000.0
0.369,62.096056824216674,912.9039431757833,25,1000.0
0.518,87.17007434944239,887.8299256505576,25,1000.0
0.729,122.677575677111,852.322424322889,25,1000.0
1.026,172.65732873074882,802.3426712692512,25,1000.0
1.443,242.83092140201805,732.169078597982,25,1000.0
2.03,341.6124535315985,633.3875464684015,25,1000.0
2.855,480.44510090281466,494.55489909718534,25,1000.0
4.016,675.8204992033989,299.17950079660113,25,1000.0
5.649,950.6249999999999,24.375000000000114,25,1000.0
