sample_id,replicate,334_373,334_384,600,ratio
B5,1,72185.0,92711.0,0.0399,0.7786023233489014
B6,1,75319.0,95362.0,0.0465,0.7898219416539083
B7,1,78955.0,101462.0,0.0402,0.7781731091443101
B8,1,81091.0,103567.0,0.039,0.7829810653972791
C1,1,83140.0,111491.0,0.0434,0.7457104160873972
C2,1,80257.0,106532.0,0.0395,0.7533604926219352
C3,1,79855.0,108438.0,0.0385,0.7364115900330143
C4,1,78639.0,107820.0,0.0384,0.7293544796883695
C5,1,81531.0,110792.0,0.0392,0.7358924832117842
C6,1,80347.0,107272.0,0.041,0.749002535610411
C7,1,78481.0,106499.0,0.0403,0.7369177175372539
C8,1,71708.0,97989.0,0.0403,0.7317964261294635
B5,2,66971.0,87562.0,0.04,0.7648409127246979
B6,2,69624.0,87762.0,0.0394,0.7933274082176797
B7,2,72037.0,94383.0,0.04,0.7632412616678851
B8,2,73274.0,95908.0,0.039,0.7640030028777578
C1,2,80187.0,107383.0,0.043,0.7467383105333246
C2,2,76415.0,101988.0,0.0397,0.7492548142918775
C3,2,76350.0,104168.0,0.0383,0.7329506182320866
C4,2,75334.0,103965.0,0.0385,0.7246092434954071
C5,2,77929.0,106361.0,0.0392,0.7326839725087203
C6,2,77605.0,104355.0,0.0409,0.743663456470701
C7,2,76648.0,103054.0,0.0402,0.7437654045451899
C8,2,70070.0,95679.0,0.0404,0.732344610625111
B5,3,65078.0,85443.0,0.0403,0.7616539681425044
B6,3,67387.0,85209.0,0.0392,0.7908436902205166
B7,3,70656.0,92489.0,0.0399,0.7639394955075739
B8,3,72058.0,93466.0,0.0392,0.7709541437528085
C1,3,79201.0,106117.0,0.043,0.746355437865752
C2,3,75627.0,101226.0,0.0396,0.7471104261750934
C3,3,75443.0,101671.0,0.0384,0.7420306675453178
C4,3,74219.0,101746.0,0.0387,0.7294537377390757
C5,3,76266.0,105107.0,0.0393,0.7256034326923991
C6,3,75979.0,103297.0,0.0409,0.7355392702595429
C7,3,75613.0,102207.0,0.0403,0.7398025575547663
C8,3,69855.0,95607.0,0.0403,0.7306473375380463
