sample_id,replicate,334_373,334_384,600,ratio
A1,1,97892.0,120296.0,0.0415,0.8137593934960431
A2,1,92554.0,113204.0,0.0417,0.8175859510264655
A3,1,80312.0,95838.0,0.0393,0.8379974540370209
A4,1,81217.0,100866.0,0.0403,0.8051969940316857
A5,1,77646.0,96384.0,0.0401,0.8055901394422311
A6,1,83342.0,104562.0,0.0395,0.7970582047015168
A7,1,83141.0,103027.0,0.0397,0.806982635619789
A8,1,84996.0,108138.0,0.0408,0.7859956721966377
B1,1,89681.0,125250.0,0.0464,0.7160159680638722
B2,1,85822.0,122318.0,0.0397,0.701630177079416
B3,1,83882.0,117523.0,0.0398,0.7137496490048756
B4,1,72126.0,103773.0,0.0389,0.6950362811135845
A1,2,92232.0,113162.0,0.042,0.8150439193368799
A2,2,85061.0,103630.0,0.0421,0.8208144359741387
A3,2,74502.0,90168.0,0.0392,0.8262576523822198
A4,2,75874.0,95698.0,0.0403,0.7928483353884094
A5,2,72506.0,91369.0,0.0398,0.793551423349276
A6,2,77772.0,98884.0,0.0391,0.7864973099793697
A7,2,77367.0,98746.0,0.0398,0.7834950276466894
A8,2,79753.0,103665.0,0.0408,0.7693339121207736
B1,2,86591.0,120490.0,0.0457,0.718657149970952
B2,2,83841.0,118771.0,0.0398,0.7059046400215541
B3,2,81649.0,114828.0,0.0397,0.7110547949977357
B4,2,71390.0,100853.0,0.0387,0.7078619376716607
A1,3,90850.0,111545.0,0.0422,0.8144694966157157
A2,3,83400.0,101795.0,0.0422,0.8192936784714377
A3,3,72023.0,88291.0,0.0396,0.8157456592404662
A4,3,74029.0,94489.0,0.0404,0.7834668585761305
A5,3,70620.0,90554.0,0.04,0.7798661572100625
A6,3,75459.0,97256.0,0.0394,0.7758801513531299
A7,3,75720.0,97773.0,0.04,0.7744469332024179
A8,3,79144.0,103694.0,0.041,0.7632457037051324
B1,3,86540.0,119629.0,0.0457,0.7234031881901546
B2,3,83650.0,118273.0,0.0398,0.7072620124626923
B3,3,81247.0,113347.0,0.0399,0.7167988566084678
B4,3,72004.0,101291.0,0.039,0.7108627617458609
