sample_id,replicate,334_373,334_384,600,ratio
D1,1,80689.0,97759.0,0.0398,0.8253869208973087
D2,1,78928.0,95555.0,0.0389,0.825995499973837
D3,1,78115.0,94835.0,0.0388,0.8236937839405283
D4,1,75227.0,91232.0,0.0385,0.8245681339880744
D5,1,74578.0,92892.0,0.0391,0.8028463161520906
D6,1,84874.0,108808.0,0.0389,0.7800345562826263
D7,1,85459.0,111167.0,0.0393,0.7687443216062321
D8,1,90161.0,118324.0,0.0388,0.7619840438119063
E1,1,85416.0,118449.0,0.0396,0.7211204822328597
E2,1,83675.0,118741.0,0.0392,0.7046849866516199
E3,1,87141.0,122272.0,0.0386,0.7126815624182151
E4,1,81440.0,114203.0,0.0386,0.7131161177902507
D1,2,73250.0,90908.0,0.0404,0.8057596691160294
D2,2,72082.0,88817.0,0.0388,0.8115788644065888
D3,2,72716.0,89743.0,0.0387,0.8102693246269904
D4,2,70227.0,87139.0,0.0388,0.8059192783942896
D5,2,69670.0,87996.0,0.0391,0.7917405336606209
D6,2,79593.0,103401.0,0.0386,0.7697507761046798
D7,2,79229.0,103657.0,0.0391,0.764338153718514
D8,2,82539.0,108798.0,0.0387,0.7586444603761099
E1,2,83134.0,113226.0,0.0398,0.7342306537367742
E2,2,82142.0,114725.0,0.0393,0.7159904118544346
E3,2,85501.0,120253.0,0.0387,0.711009288749553
E4,2,80149.0,113350.0,0.0387,0.7070930745478606
D1,3,72566.0,88498.0,0.04,0.8199733327306832
D2,3,71520.0,86724.0,0.0389,0.8246852082468521
D3,3,71565.0,87060.0,0.0387,0.8220192970365265
D4,3,69213.0,85747.0,0.0387,0.8071769274726812
D5,3,68551.0,87936.0,0.0389,0.7795555858806404
D6,3,78219.0,101957.0,0.0386,0.7671763586610042
D7,3,78075.0,102138.0,0.0393,0.7644069787933971
D8,3,81438.0,107267.0,0.0387,0.7592083306142616
E1,3,82353.0,111812.0,0.0398,0.7365309626873681
E2,3,81954.0,113996.0,0.0394,0.7189199621039335
E3,3,84991.0,119302.0,0.0386,0.7124021391091515
E4,3,80495.0,113804.0,0.0388,0.7073125724930582
