concentration,surfactant volume,water volume,probe volume,total volume
0.159,19.029255319148938,955.9707446808511,25,1000.0
0.227,27.167553191489365,947.8324468085107,25,1000.0
0.324,38.776595744680854,936.2234042553191,25,1000.0
0.462,55.29255319148937,919.7074468085107,25,1000.0
0.659,78.86968085106383,896.1303191489362,25,1000.0
0.94,112.5,862.5,25,1000.0
1.342,160.61170212765958,814.3882978723404,25,1000.0
1.915,229.18882978723406,745.811170212766,25,1000.0
2.733,327.08776595744683,647.9122340425531,25,1000.0
3.9,466.75531914893617,508.24468085106383,25,1000.0
5.566,666.1436170212766,308.85638297872345,25,1000.0
7.943,950.6249999999999,24.375000000000114,25,1000.0
