concentration,surfactant volume,water volume,probe volume,total volume
0.093,19.032965554359524,955.9670344456405,25,1000.0
0.133,27.219187298170077,947.78081270183,25,1000.0
0.189,38.679897739504845,936.3201022604951,25,1000.0
0.27,55.25699677072121,919.7430032292788,25,1000.0
0.385,78.79238428417653,896.2076157158235,25,1000.0
0.55,112.56054897739504,862.439451022605,25,1000.0
0.785,160.65460172228202,814.345398277718,25,1000.0
1.12,229.21420882669537,745.7857911733047,25,1000.0
1.598,327.0395586652315,647.9604413347686,25,1000.0
2.281,466.81929494079657,508.18070505920343,25,1000.0
3.255,666.1537944025835,308.84620559741654,25,1000.0
4.645,950.625,24.375,25,1000.0
