sample_id,replicate,334_373,334_384,600,ratio
B5,1,119742.0,151060.0,0.0405,0.792678405931418
B6,1,116909.0,144036.0,0.0409,0.8116651392707379
B7,1,99710.0,120844.0,0.0405,0.825113369302572
B8,1,95064.0,116773.0,0.0417,0.8140922987334401
C1,1,84998.0,106889.0,0.0399,0.7951987575896491
C2,1,81114.0,106036.0,0.0409,0.7649666151118488
C3,1,100925.0,133004.0,0.0395,0.7588117650596975
C4,1,114640.0,154777.0,0.0382,0.7406785245869865
C5,1,116125.0,157195.0,0.0403,0.7387321479690829
C6,1,121295.0,166235.0,0.0398,0.7296598189310314
C7,1,118035.0,159493.0,0.0387,0.7400638272526067
C8,1,102846.0,137089.0,0.0405,0.7502133650402293
B5,2,114190.0,143466.0,0.0403,0.7959377134652112
B6,2,109490.0,136943.0,0.0411,0.7995297313480791
B7,2,93848.0,116505.0,0.0406,0.805527659757092
B8,2,89559.0,110752.0,0.0418,0.8086445391505346
C1,2,82269.0,103733.0,0.0398,0.793084168008252
C2,2,78565.0,103073.0,0.041,0.7622267713174158
C3,2,101369.0,140525.0,0.0391,0.721359188756449
C4,2,111381.0,156351.0,0.0385,0.7123779189132144
C5,2,114429.0,158051.0,0.0403,0.7240004808574447
C6,2,117342.0,160797.0,0.0397,0.7297524207541185
C7,2,114796.0,154225.0,0.0388,0.7443410601394067
C8,2,100882.0,135549.0,0.0404,0.7442474677054054
B5,3,111900.0,140165.0,0.0405,0.7983448079049691
B6,3,107504.0,134730.0,0.0414,0.7979217694648556
B7,3,93092.0,115867.0,0.0406,0.803438425090837
B8,3,88505.0,110132.0,0.0418,0.8036265572222424
C1,3,82989.0,103727.0,0.0398,0.8000713411165848
C2,3,80286.0,104834.0,0.0409,0.7658393269359177
C3,3,105408.0,145816.0,0.0391,0.7228836341690899
C4,3,114075.0,160366.0,0.0384,0.7113415561902149
C5,3,116109.0,161479.0,0.0402,0.7190346732392447
C6,3,116597.0,161119.0,0.0398,0.7236700823614843
C7,3,114171.0,153437.0,0.0387,0.7440904084412495
C8,3,101669.0,136959.0,0.0403,0.7423316466971868
