sample_id,replicate,334_373,334_384,600,ratio
D1,1,140100.0,170391.0,0.0401,0.822226526048911
D2,1,149632.0,178389.0,0.0409,0.838796114110175
D3,1,145301.0,175981.0,0.0412,0.8256629977099801
D4,1,138922.0,167556.0,0.041,0.82910788035045
D5,1,123146.0,148131.0,0.0399,0.8313317266473594
D6,1,99631.0,121010.0,0.0397,0.82332865052475
D7,1,108839.0,142897.0,0.0394,0.7616604967214147
D8,1,129053.0,173145.0,0.0393,0.7453463859770713
E1,1,128231.0,178567.0,0.0417,0.7181114091629472
E2,1,125722.0,175927.0,0.0419,0.7146259528099723
E3,1,122180.0,170966.0,0.0394,0.7146450171379105
E4,1,97710.0,133575.0,0.0398,0.7314991577765301
D1,2,126155.0,156670.0,0.0402,0.8052275483500351
D2,2,133241.0,165901.0,0.0412,0.8031356049692286
D3,2,132444.0,165293.0,0.0411,0.8012680512786385
D4,2,127322.0,158246.0,0.0406,0.8045827382682659
D5,2,115333.0,140807.0,0.04,0.8190856988644031
D6,2,92607.0,115077.0,0.0394,0.804739435334602
D7,2,100715.0,135113.0,0.0393,0.7454130986655614
D8,2,120505.0,166003.0,0.0395,0.7259206158924839
E1,2,123948.0,173349.0,0.0418,0.7150199885779555
E2,2,121135.0,171979.0,0.042,0.7043592531646305
E3,2,118618.0,163186.0,0.0394,0.7268883360092164
E4,2,96318.0,131826.0,0.0396,0.7306449410586683
D1,3,122616.0,153355.0,0.0403,0.7995565843956832
D2,3,130907.0,163177.0,0.0408,0.8022392861739093
D3,3,129961.0,160489.0,0.0415,0.8097813557315454
D4,3,125101.0,154326.0,0.0406,0.810628150797662
D5,3,111341.0,138579.0,0.0402,0.8034478528492773
D6,3,92965.0,114608.0,0.0398,0.8111562892642747
D7,3,101318.0,134332.0,0.0394,0.7542357740523479
D8,3,121295.0,166001.0,0.0392,0.7306883693471726
E1,3,122632.0,171239.0,0.0419,0.7161452706451217
E2,3,121368.0,171202.0,0.042,0.7089169519047674
E3,3,119382.0,165339.0,0.0395,0.7220438009181137
E4,3,97108.0,133006.0,0.0397,0.7301024013954258
