sample_id,replicate,334_373,334_384,600,ratio
D1,1,146845.0,182271.0,0.0402,0.8056410509625777
D2,1,155026.0,188133.0,0.0401,0.8240234302328672
D3,1,154042.0,186626.0,0.041,0.8254048203358589
D4,1,155623.0,187907.0,0.0415,0.828191605421831
D5,1,140142.0,170562.0,0.0403,0.8216484328279453
D6,1,108263.0,131306.0,0.0389,0.8245091618052488
D7,1,132322.0,172695.0,0.0388,0.7662178986073713
D8,1,154204.0,208085.0,0.0397,0.7410625465554942
E1,1,139203.0,193860.0,0.0398,0.7180594243268338
E2,1,131982.0,186143.0,0.0408,0.7090355264500948
E3,1,128337.0,179233.0,0.0393,0.7160344356229043
E4,1,105015.0,144759.0,0.0391,0.7254471224587072
D1,2,134787.0,168264.0,0.0404,0.8010447867636571
D2,2,140869.0,175736.0,0.04,0.8015944371102107
D3,2,140625.0,175973.0,0.0412,0.7991282753604246
D4,2,142196.0,178171.0,0.0414,0.7980872308063602
D5,2,129580.0,162933.0,0.04,0.795296226056109
D6,2,103608.0,129049.0,0.0388,0.8028578291966617
D7,2,119059.0,168029.0,0.0387,0.7085622124752274
D8,2,145130.0,203560.0,0.0394,0.7129593240322264
E1,2,134312.0,188698.0,0.0398,0.7117828487848308
E2,2,126171.0,179809.0,0.041,0.7016945759111056
E3,2,122782.0,170952.0,0.0392,0.718224998830081
E4,2,104082.0,144019.0,0.0394,0.7226963109034225
D1,3,132371.0,165899.0,0.0405,0.7979011326168332
D2,3,137436.0,171805.0,0.0403,0.7999534355810366
D3,3,136863.0,170613.0,0.0412,0.8021838898559899
D4,3,139688.0,174524.0,0.0413,0.8003942151222755
D5,3,129547.0,162027.0,0.0403,0.7995395829090214
D6,3,104302.0,129672.0,0.0386,0.8043525202048245
D7,3,121834.0,169774.0,0.0386,0.7176246068302566
D8,3,144145.0,201278.0,0.0396,0.7161488091097884
E1,3,133582.0,187136.0,0.04,0.7138231019151847
E2,3,125505.0,178999.0,0.0409,0.7011491684311085
E3,3,122473.0,171707.0,0.0391,0.7132673682494016
E4,3,105168.0,145722.0,0.0393,0.7217029686663647
