sample_id,replicate,334_373,334_384,600,ratio
D1,1,140669.0,171555.0,0.0406,0.8199644428900352
D2,1,147746.0,182454.0,0.0439,0.8097712300086597
D3,1,143536.0,172863.0,0.0419,0.8303454180478183
D4,1,131961.0,161273.0,0.0414,0.8182460796289521
D5,1,124664.0,152798.0,0.0401,0.8158745533318499
D6,1,119545.0,149727.0,0.0387,0.7984197906857147
D7,1,136250.0,175176.0,0.0391,0.7777891948668767
D8,1,137104.0,178954.0,0.0403,0.7661410194798663
E1,1,128627.0,176944.0,0.0398,0.7269362058052266
E2,1,137495.0,194215.0,0.0404,0.7079525268388126
E3,1,140439.0,195435.0,0.0392,0.7185969759766674
E4,1,112607.0,155267.0,0.0389,0.7252474769268421
D1,2,125943.0,157558.0,0.0407,0.799343733736148
D2,2,133276.0,165367.0,0.044,0.8059407257796295
D3,2,129186.0,160550.0,0.0416,0.8046465275615073
D4,2,120774.0,151950.0,0.0412,0.794827245804541
D5,2,115418.0,147183.0,0.0401,0.7841802382068581
D6,2,111581.0,144107.0,0.0387,0.774292713053495
D7,2,125554.0,167244.0,0.039,0.7507234938174164
D8,2,129072.0,176511.0,0.0406,0.7312405459149854
E1,2,126898.0,173561.0,0.04,0.7311435172648233
E2,2,129885.0,184374.0,0.0401,0.7044648377753914
E3,2,132190.0,186784.0,0.0391,0.7077158643138599
E4,2,108709.0,151475.0,0.0391,0.7176695824393464
D1,3,123675.0,153181.0,0.0408,0.8073781996461702
D2,3,130013.0,159148.0,0.0437,0.8169314097569558
D3,3,125970.0,155350.0,0.0415,0.8108786610878661
D4,3,119261.0,149352.0,0.0412,0.7985229524880818
D5,3,115189.0,145825.0,0.0399,0.7899125664323675
D6,3,112852.0,144930.0,0.0387,0.7786655626854343
D7,3,125994.0,168661.0,0.0391,0.7470250976811474
D8,3,129017.0,176050.0,0.04,0.7328429423459245
E1,3,125815.0,172493.0,0.0398,0.729391917353168
E2,3,131266.0,182705.0,0.0404,0.7184587176048822
E3,3,131769.0,184818.0,0.0392,0.7129662695192027
E4,3,108565.0,152466.0,0.0391,0.7120603937927145
