sample_id,replicate,334_373,334_384,600,ratio
B5,1,134763.0,171795.0,0.0403,0.7844407578800314
B6,1,134854.0,170360.0,0.0416,0.7915825311105893
B7,1,135016.0,165203.0,0.0419,0.8172732940685097
B8,1,138375.0,171810.0,0.0412,0.8053954950235725
C1,1,108033.0,138201.0,0.04,0.7817092495712766
C2,1,110173.0,146277.0,0.0396,0.7531806093917705
C3,1,114854.0,156158.0,0.0397,0.7354986616119571
C4,1,136444.0,189820.0,0.04,0.7188072911179012
C5,1,142313.0,196202.0,0.0415,0.7253391912416794
C6,1,147137.0,196497.0,0.0385,0.7488002361359206
C7,1,141138.0,191647.0,0.0403,0.736447739855046
C8,1,119684.0,159366.0,0.0405,0.751000840831796
B5,2,127428.0,163660.0,0.0403,0.7786142001710864
B6,2,129240.0,164583.0,0.0416,0.7852572865970362
B7,2,127171.0,159282.0,0.0419,0.7984015770771337
B8,2,128512.0,160680.0,0.041,0.7998008464027881
C1,2,104486.0,136748.0,0.0402,0.7640769883288969
C2,2,107501.0,145648.0,0.0397,0.738087718334615
C3,2,111828.0,152154.0,0.0396,0.7349658898221538
C4,2,130851.0,183866.0,0.0404,0.711665016914492
C5,2,136099.0,188331.0,0.0414,0.7226585108134083
C6,2,139028.0,190583.0,0.0386,0.7294879396378481
C7,2,134937.0,184153.0,0.0405,0.7327439683306816
C8,2,116168.0,156486.0,0.0404,0.7423539485960405
B5,3,124427.0,159817.0,0.0402,0.7785592271160139
B6,3,128184.0,162196.0,0.0415,0.7903030900885348
B7,3,127016.0,158742.0,0.042,0.8001411094732332
B8,3,126695.0,159181.0,0.041,0.795917854517813
C1,3,104236.0,133476.0,0.0405,0.7809344001917948
C2,3,105560.0,141384.0,0.0396,0.7466191365359588
C3,3,109802.0,149287.0,0.0396,0.7355094549424933
C4,3,130468.0,182528.0,0.0404,0.7147834852734923
C5,3,135616.0,187218.0,0.0411,0.7243747930220384
C6,3,138605.0,189202.0,0.0388,0.7325768226551517
C7,3,134999.0,183657.0,0.0405,0.7350604659773382
C8,3,117276.0,157672.0,0.0404,0.7437972499873154
