concentration,surfactant volume,water volume,probe volume,total volume
0.495,18.99408149673044,956.0059185032695,25,1000.0
0.707,27.12892044078469,947.8710795592153,25,1000.0
1.009,38.71722874788084,936.2827712521191,25,1000.0
1.44,55.255509808670375,919.7444901913296,25,1000.0
2.055,78.85421712279003,896.14578287721,25,1000.0
2.933,112.54472935335431,862.4552706466457,25,1000.0
4.185,160.58632538144826,814.4136746185518,25,1000.0
5.973,229.19525006054735,745.8047499394527,25,1000.0
8.524,327.0819205618794,647.9180794381207,25,1000.0
12.164,466.7555703560184,508.2444296439816,25,1000.0
17.36,666.1358682489706,308.8641317510294,25,1000.0
24.774,950.625,24.375,25,1000.0
