concentration,surfactant volume,water volume,probe volume,total volume
0.11,19.071448112347255,955.9285518876527,25,1000.0
0.156,27.046780959328835,947.9532190406711,25,1000.0
0.223,38.663026627758526,936.3369733722415,25,1000.0
0.319,55.307199525807036,919.692800474193,25,1000.0
0.455,78.8864444647091,896.1135555352909,25,1000.0
0.649,112.5215438628488,862.4784561371512,25,1000.0
0.926,160.54691774575963,814.4530822542404,25,1000.0
1.322,229.20413095020976,745.7958690497902,25,1000.0
1.886,326.9886467262447,648.0113532737553,25,1000.0
2.692,466.7303483494438,508.2696516505562,25,1000.0
3.842,666.1136695239833,308.8863304760167,25,1000.0
5.483,950.6249999999999,24.375000000000114,25,1000.0
