concentration,surfactant volume,water volume,probe volume,total volume
0.662,19.00503578654909,955.9949642134509,25,1000.0
0.945,27.12954504273246,947.8704549572675,25,1000.0
1.349,38.7277844049165,936.2722155950835,25,1000.0
1.925,55.263888050010564,919.7361119499894,25,1000.0
2.747,78.86228596019689,896.1377140398031,25,1000.0
3.92,112.53737202911242,862.4626279708875,25,1000.0
5.594,160.59542324766707,814.4045767523329,25,1000.0
7.983,229.18006145622562,745.8199385437744,25,1000.0
11.393,327.0760917162444,647.9239082837556,25,1000.0
16.259,466.77171730136195,508.22828269863805,25,1000.0
23.203,666.1236334672183,308.87636653278173,25,1000.0
33.113,950.6249999999999,24.375000000000114,25,1000.0
