sample_id,replicate,334_373,334_384,600,ratio
A1,1,79389.0,97251.0,0.0398,0.81633093747108
A2,1,76472.0,95563.0,0.0397,0.8002260289023995
A3,1,74344.0,89722.0,0.0422,0.8286039098548851
A4,1,71369.0,85781.0,0.0395,0.8319907671862067
A5,1,67193.0,81628.0,0.0407,0.8231611701867007
A6,1,66086.0,82886.0,0.0384,0.7973119706584948
A7,1,68336.0,86655.0,0.0392,0.7885984651780047
A8,1,76284.0,100583.0,0.0403,0.7584184206078562
B1,1,78818.0,106898.0,0.0426,0.7373196879268087
B2,1,83513.0,117396.0,0.0388,0.7113785818937612
B3,1,81680.0,115692.0,0.0403,0.706012515990734
B4,1,73469.0,102780.0,0.0387,0.7148180579879354
A1,2,72637.0,89181.0,0.0396,0.8144896334421009
A2,2,71474.0,87581.0,0.0394,0.8160902478848152
A3,2,67195.0,83207.0,0.0417,0.807564267429423
A4,2,66650.0,82820.0,0.0396,0.8047573049987926
A5,2,62752.0,79880.0,0.0404,0.785578367551327
A6,2,62130.0,78753.0,0.0384,0.788922326768504
A7,2,63587.0,81409.0,0.0389,0.7810807158913634
A8,2,71079.0,93529.0,0.0405,0.7599674967122497
B1,2,74622.0,101775.0,0.0429,0.7332056005895358
B2,2,80475.0,114128.0,0.0389,0.7051293284732931
B3,2,80152.0,113131.0,0.0396,0.7084883895660783
B4,2,72569.0,102383.0,0.0388,0.7087993123858453
A1,3,71181.0,86989.0,0.0397,0.8182758739610755
A2,3,68787.0,85097.0,0.0393,0.8083363690846916
A3,3,65693.0,81865.0,0.0416,0.8024552617113541
A4,3,64697.0,81600.0,0.0395,0.7928553921568627
A5,3,61491.0,78831.0,0.0405,0.7800357727290026
A6,3,60128.0,76884.0,0.0386,0.782061287133864
A7,3,61059.0,79414.0,0.0391,0.7688694688593951
A8,3,69106.0,92343.0,0.0404,0.7483620848358836
B1,3,74370.0,101588.0,0.0427,0.7320746544867504
B2,3,80437.0,114163.0,0.0387,0.704580293089705
B3,3,80303.0,113677.0,0.0397,0.7064137864299727
B4,3,74553.0,104705.0,0.0389,0.7120290339525333
