sample_id,replicate,334_373,334_384,600,ratio
A1,1,90840.0,112841.0,0.042,0.8050265417711647
A2,1,91001.0,109252.0,0.0403,0.8329458499615567
A3,1,93048.0,113670.0,0.0422,0.818580100290314
A4,1,109681.0,154839.0,0.0398,0.7083551301674643
A5,1,132741.0,189495.0,0.0404,0.7004986938969366
A6,1,134370.0,190505.0,0.0387,0.705335817957534
A7,1,131309.0,187677.0,0.0394,0.6996541931083724
A8,1,138023.0,199344.0,0.0404,0.6923860261658239
B1,1,128741.0,195908.0,0.0448,0.6571502950364457
B2,1,134235.0,203751.0,0.0398,0.6588188524228102
B3,1,132249.0,202275.0,0.0404,0.6538079347423063
B4,1,121733.0,182060.0,0.0389,0.6686422058661979
A1,2,83729.0,104914.0,0.042,0.7980727071696818
A2,2,79365.0,97987.0,0.0404,0.8099543817036954
A3,2,80991.0,100607.0,0.0424,0.8050235073106246
A4,2,99625.0,142476.0,0.0398,0.6992405738510346
A5,2,121900.0,179315.0,0.0404,0.6798092741823049
A6,2,124795.0,182698.0,0.0389,0.6830671381186438
A7,2,122332.0,180744.0,0.0396,0.6768246802106848
A8,2,128607.0,193330.0,0.0403,0.6652200900015518
B1,2,125154.0,190939.0,0.0448,0.6554658817737602
B2,2,130949.0,199648.0,0.0397,0.6558993829139285
B3,2,128889.0,198306.0,0.0404,0.6499500771534901
B4,2,117167.0,178973.0,0.0391,0.654662993859409
A1,3,82254.0,103818.0,0.0421,0.7922903542738253
A2,3,77381.0,93693.0,0.0402,0.8258994802173054
A3,3,78099.0,96491.0,0.0422,0.8093915494709352
A4,3,96864.0,138063.0,0.0397,0.7015927511353512
A5,3,119974.0,177418.0,0.0405,0.6762222547881275
A6,3,122701.0,181359.0,0.0387,0.676564162793134
A7,3,121478.0,178780.0,0.0396,0.6794831636648395
A8,3,128134.0,189883.0,0.0404,0.6748050115070859
B1,3,125507.0,190400.0,0.0448,0.6591754201680672
B2,3,130571.0,196565.0,0.0397,0.664263729555109
B3,3,129152.0,196809.0,0.0404,0.6562301520763786
B4,3,118552.0,181600.0,0.0387,0.6528193832599118
