sample_id,replicate,334_373,334_384,600,ratio
E5,1,68970.0,85258.0,0.0405,0.8089563442726783
E6,1,67404.0,82182.0,0.0398,0.8201796013725633
E7,1,63080.0,77254.0,0.0392,0.8165272995573045
E8,1,61496.0,74300.0,0.0395,0.827671601615074
F1,1,51540.0,63590.0,0.0391,0.8105047963516276
F2,1,48478.0,61612.0,0.0385,0.7868272414464714
F3,1,53025.0,70181.0,0.0388,0.7555463729499438
F4,1,63624.0,86439.0,0.0387,0.7360566410995038
F5,1,65923.0,89035.0,0.0393,0.7404166900657045
F6,1,71790.0,97862.0,0.0402,0.7335840264862766
F7,1,69066.0,92368.0,0.0409,0.7477264853628962
F8,1,65410.0,87668.0,0.041,0.7461103253182461
E5,2,61999.0,78376.0,0.0405,0.7910457282841686
E6,2,62269.0,77017.0,0.0399,0.8085098095225729
E7,2,58468.0,71957.0,0.0392,0.8125408229915089
E8,2,57448.0,69554.0,0.0394,0.8259481841446933
F1,2,49612.0,61629.0,0.0394,0.8050106281133882
F2,2,46395.0,59090.0,0.0383,0.7851582332035878
F3,2,50529.0,67730.0,0.0385,0.746035730104828
F4,2,64338.0,88589.0,0.0388,0.726252695029857
F5,2,64887.0,89036.0,0.0391,0.7287726312952064
F6,2,70352.0,95645.0,0.04,0.7355533483193057
F7,2,67781.0,89853.0,0.0406,0.7543543343015815
F8,2,63728.0,85529.0,0.0411,0.745103999812929
E5,3,60954.0,76914.0,0.0404,0.7924955144707075
E6,3,61614.0,76804.0,0.0399,0.8022238425082027
E7,3,57597.0,70587.0,0.0391,0.8159717795061413
E8,3,56454.0,68869.0,0.0394,0.819730212432299
F1,3,49345.0,61354.0,0.0392,0.8042670404537602
F2,3,46961.0,59226.0,0.0386,0.7929118968020802
F3,3,51183.0,67751.0,0.0384,0.755457484022376
F4,3,65324.0,89640.0,0.0387,0.7287371709058456
F5,3,65228.0,88507.0,0.0391,0.7369812557198866
F6,3,68811.0,95152.0,0.0404,0.7231692449974777
F7,3,67476.0,90850.0,0.0408,0.7427187671986791
F8,3,63810.0,85763.0,0.0411,0.7440271445728345
