sample_id,replicate,334_373,334_384,600,ratio
B5,1,71923.0,93547.0,0.0433,0.7688434690583343
B6,1,74783.0,93654.0,0.0393,0.7985030004057488
B7,1,73200.0,87828.0,0.0393,0.8334471922393769
B8,1,69322.0,81228.0,0.04,0.853424927364948
C1,1,60555.0,72236.0,0.0394,0.8382939254665264
C2,1,55934.0,68711.0,0.0391,0.8140472413441807
C3,1,66747.0,86699.0,0.0384,0.7698704714010542
C4,1,72848.0,101004.0,0.039,0.7212387628212744
C5,1,77338.0,106549.0,0.0412,0.7258444471557687
C6,1,83781.0,115014.0,0.0404,0.7284417549167927
C7,1,82852.0,112665.0,0.0393,0.7353836595215906
C8,1,75511.0,102456.0,0.0409,0.7370090575466541
B5,2,65599.0,84133.0,0.0428,0.7797059417826536
B6,2,67817.0,84722.0,0.0394,0.8004650504001322
B7,2,64923.0,80817.0,0.0392,0.803333457069676
B8,2,61232.0,75368.0,0.0398,0.8124402929625305
C1,2,56041.0,68110.0,0.0397,0.8228013507561298
C2,2,52103.0,64521.0,0.0391,0.8075355310674044
C3,2,61728.0,82056.0,0.0384,0.7522667446621819
C4,2,73732.0,102753.0,0.0388,0.717565423880568
C5,2,75938.0,106464.0,0.0406,0.7132739705440336
C6,2,78907.0,111161.0,0.0406,0.7098442799183167
C7,2,79048.0,108087.0,0.0392,0.7313367935089327
C8,2,71213.0,97724.0,0.0409,0.7287155662887316
B5,3,63778.0,81224.0,0.0433,0.7852112676056338
B6,3,64891.0,80643.0,0.0403,0.8046699651550662
B7,3,62974.0,77351.0,0.0393,0.8141329782420396
B8,3,60322.0,73502.0,0.0399,0.8206851514244511
C1,3,55003.0,66951.0,0.0398,0.8215411270929486
C2,3,51587.0,63902.0,0.0391,0.807283027135301
C3,3,62807.0,82768.0,0.0382,0.7588319157162188
C4,3,74014.0,102864.0,0.039,0.7195325867164412
C5,3,76906.0,107359.0,0.0405,0.7163442282435567
C6,3,78972.0,110459.0,0.0406,0.7149440063734055
C7,3,78061.0,107647.0,0.0393,0.7251572268618726
C8,3,70775.0,97612.0,0.0412,0.7250645412449289
