concentration,surfactant volume,water volume,probe volume,total volume
0.752,20.569430856879787,954.4305691431202,25,1000.0
1.065,29.130909391724696,945.8690906082753,25,1000.0
1.509,41.27562654658457,933.7243734534154,25,1000.0
2.138,58.48064251596938,916.5193574840306,25,1000.0
3.03,82.87948869194913,892.1205113080508,25,1000.0
4.294,117.45363843010877,857.5463615698912,25,1000.0
6.084,166.41544858145826,808.5845514185418,25,1000.0
8.621,235.80992475686256,739.1900752431375,25,1000.0
12.215,334.1164865914715,640.8835134085284,25,1000.0
17.309,473.4524982735801,501.5475017264199,25,1000.0
24.527,670.886210939748,304.113789060252,25,1000.0
34.754,950.6250000000001,24.374999999999886,25,1000.0
