concentration,surfactant volume,water volume,probe volume,total volume
0.272,18.992948435434112,956.0070515645659,25,1000.0
0.389,27.16270934332305,947.8372906566769,25,1000.0
0.555,38.7539940502424,936.2460059497575,25,1000.0
0.791,55.233169898633754,919.7668301013663,25,1000.0
1.129,78.83470141031292,896.165298589687,25,1000.0
1.612,112.56115028646981,862.4388497135302,25,1000.0
2.3,160.60213750550903,814.3978624944909,25,1000.0
3.282,229.17226751873068,745.8277324812693,25,1000.0
4.684,327.06974438078447,647.9302556192156,25,1000.0
6.685,466.7936040105773,508.2063959894227,25,1000.0
9.54,666.1497355663287,308.8502644336713,25,1000.0
13.614,950.625,24.375,25,1000.0
