sample_id,replicate,334_373,334_384,600,ratio
A1,1,156375.0,196546.0,0.0409,0.7956152758132956
A2,1,155025.0,187566.0,0.0413,0.8265090688077796
A3,1,156965.0,190297.0,0.0388,0.8248422203187649
A4,1,146916.0,179749.0,0.04,0.8173397348524888
A5,1,149937.0,183946.0,0.0398,0.8151142183031976
A6,1,156698.0,193384.0,0.0402,0.8102945434989451
A7,1,153523.0,199020.0,0.0412,0.7713948346899809
A8,1,167340.0,219278.0,0.0397,0.7631408531635641
B1,1,153297.0,216834.0,0.0421,0.7069786103655331
B2,1,173663.0,247489.0,0.039,0.7016998735297326
B3,1,160168.0,227794.0,0.0387,0.7031265090388684
B4,1,127283.0,180608.0,0.0401,0.7047472980155918
A1,2,138767.0,178045.0,0.0409,0.7793928501221601
A2,2,135971.0,171518.0,0.0409,0.7927506150957917
A3,2,138507.0,170954.0,0.0387,0.8102004047872527
A4,2,131037.0,165608.0,0.04,0.7912480073426404
A5,2,135429.0,174582.0,0.0394,0.775732893425439
A6,2,143044.0,182447.0,0.0396,0.784030430755233
A7,2,141297.0,188825.0,0.0411,0.7482960413080895
A8,2,154626.0,210632.0,0.04,0.7341049793003912
B1,2,147333.0,206598.0,0.0427,0.7131385589405512
B2,2,166830.0,239458.0,0.0393,0.6966983771684387
B3,2,157336.0,223388.0,0.039,0.7043171522194567
B4,2,126439.0,181073.0,0.0403,0.6982763857670663
A1,3,135395.0,170363.0,0.0409,0.7947441639323093
A2,3,133984.0,168582.0,0.0411,0.7947704974433807
A3,3,135523.0,168119.0,0.0387,0.8061135267280914
A4,3,128572.0,164127.0,0.0398,0.7833689764633485
A5,3,131643.0,169875.0,0.0395,0.7749403973509934
A6,3,140082.0,181407.0,0.0398,0.7721973242487886
A7,3,140469.0,185091.0,0.0409,0.7589185859928359
A8,3,153585.0,206016.0,0.0398,0.7455003494874185
B1,3,146414.0,203485.0,0.0427,0.7195321522470943
B2,3,165273.0,235313.0,0.0393,0.7023538861006404
B3,3,156501.0,221961.0,0.039,0.7050833254490654
B4,3,126622.0,182362.0,0.0401,0.6943442164486022
