sample_id,replicate,334_373,334_384,600,ratio
E5,1,134245.0,173958.0,0.041,0.7717092631554743
E6,1,138709.0,179087.0,0.04,0.7745341649589306
E7,1,149918.0,191846.0,0.0384,0.7814497044504446
E8,1,154780.0,198822.0,0.0399,0.778485278289123
F1,1,133613.0,179403.0,0.041,0.7447645803024475
F2,1,140347.0,188963.0,0.041,0.7427221202034261
F3,1,139336.0,187613.0,0.0404,0.7426777462116164
F4,1,149260.0,203580.0,0.039,0.7331761469692504
F5,1,163301.0,224072.0,0.0394,0.7287880681209611
F6,1,152089.0,210700.0,0.0395,0.7218272425249169
F7,1,150399.0,207699.0,0.0387,0.7241200005777592
F8,1,128193.0,176356.0,0.039,0.7268989997505046
E5,2,123509.0,162832.0,0.0412,0.758505699125479
E6,2,127354.0,167714.0,0.04,0.7593522305830164
E7,2,134848.0,180631.0,0.0385,0.7465385232878078
E8,2,141649.0,186654.0,0.0398,0.7588854243680822
F1,2,128272.0,170464.0,0.0412,0.7524873287028346
F2,2,133310.0,180453.0,0.041,0.7387519187821759
F3,2,131324.0,180333.0,0.0404,0.7282305512579506
F4,2,140639.0,196576.0,0.0399,0.7154433908513755
F5,2,153220.0,214689.0,0.0395,0.7136835142927677
F6,2,146212.0,204072.0,0.0396,0.7164726175075463
F7,2,145294.0,204105.0,0.0387,0.7118590921339507
F8,2,125712.0,175458.0,0.039,0.716479157405191
E5,3,121310.0,159545.0,0.0411,0.7603497445861669
E6,3,124348.0,164930.0,0.04,0.7539440974959074
E7,3,133061.0,179016.0,0.0386,0.7432911024712875
E8,3,140002.0,183943.0,0.0399,0.7611162153493202
F1,3,126300.0,168218.0,0.0412,0.7508114470508507
F2,3,131824.0,176987.0,0.041,0.7448230661009001
F3,3,129739.0,178434.0,0.0403,0.7270979746012531
F4,3,139362.0,192135.0,0.0392,0.7253337497072371
F5,3,152264.0,210989.0,0.0397,0.7216679542535392
F6,3,144853.0,203560.0,0.0397,0.7115985458832776
F7,3,143462.0,200852.0,0.0389,0.7142672216358313
F8,3,125908.0,174974.0,0.039,0.7195811949203882
