concentration,surfactant volume,water volume,probe volume,total volume
1.156,38.723087494273926,936.276912505726,25,1000.0
1.547,51.820602382043056,923.179397617957,25,1000.0
2.069,69.3062872194228,905.6937127805772,25,1000.0
2.768,92.7210261108566,882.2789738891433,25,1000.0
3.702,124.00767292716444,850.9923270728356,25,1000.0
4.952,165.87952359138797,809.120476408612,25,1000.0
6.625,221.92080852038478,753.0791914796152,25,1000.0
8.862,296.8546724690793,678.1453275309207,25,1000.0
11.855,397.1126316994961,577.8873683005039,25,1000.0
15.859,531.2365437471369,443.7634562528631,25,1000.0
21.215,710.6490494732019,264.3509505267981,25,1000.0
28.379,950.625,24.375,25,1000.0
