concentration,surfactant volume,water volume,probe volume,total volume
0.376,19.019581759165646,955.9804182408343,25,1000.0
0.536,27.11302080561911,947.8869791943808,25,1000.0
0.765,38.69675544085563,936.3032445591443,25,1000.0
1.092,55.23772149204491,919.7622785079551,25,1000.0
1.559,78.86044670888096,896.139553291119,25,1000.0
2.225,112.54938673974351,862.4506132602564,25,1000.0
3.175,160.60418107806098,814.395818921939,25,1000.0
4.531,229.19607699675407,745.8039230032459,25,1000.0
6.466,327.0761054648007,647.9238945351992,25,1000.0
9.228,466.78909700420365,508.21090299579635,25,1000.0
13.169,666.1406175171605,308.85938248283946,25,1000.0
18.793,950.6249999999999,24.375000000000114,25,1000.0
