sample_id,replicate,334_373,334_384,600,ratio
E5,1,142982.0,181954.0,0.0499,0.7858139969442827
E6,1,179300.0,217194.0,0.0401,0.8255292503476155
E7,1,163433.0,197923.0,0.0399,0.8257403131520844
E8,1,177231.0,214875.0,0.0394,0.8248097731239092
F1,1,168034.0,218534.0,0.0415,0.7689146768923829
F2,1,170585.0,225347.0,0.0417,0.7569881116677835
F3,1,204166.0,287809.0,0.0425,0.7093801792160773
F4,1,195926.0,285001.0,0.0391,0.6874572369921509
F5,1,207507.0,307215.0,0.0407,0.6754455348859919
F6,1,251622.0,384178.0,0.0401,0.6549620228123422
F7,1,239514.0,367624.0,0.0402,0.6515189432681218
F8,1,226338.0,347033.0,0.0396,0.6522088677445661
E5,2,133304.0,168407.0,0.0397,0.791558545666154
E6,2,160810.0,203020.0,0.0389,0.7920894493153384
E7,2,144799.0,181571.0,0.0397,0.7974786722549306
E8,2,155091.0,196201.0,0.0394,0.7904699772172415
F1,2,156796.0,203916.0,0.0412,0.7689244590909983
F2,2,158826.0,210674.0,0.0396,0.753894642908
F3,2,187131.0,262903.0,0.0401,0.7117872371178724
F4,2,184343.0,270758.0,0.039,0.6808404553143398
F5,2,197206.0,294929.0,0.0408,0.6686558459832705
F6,2,238912.0,364165.0,0.0404,0.6560542611178999
F7,2,228330.0,354399.0,0.0401,0.644273826957751
F8,2,215792.0,334959.0,0.0397,0.6442340704384716
E5,3,128608.0,162605.0,0.0396,0.7909227883521417
E6,3,155769.0,196533.0,0.0387,0.792584451466166
E7,3,141168.0,176627.0,0.0398,0.7992436037525407
E8,3,150545.0,189908.0,0.0392,0.7927259515133643
F1,3,154504.0,195888.0,0.0411,0.7887364208118925
F2,3,156333.0,204004.0,0.0398,0.7663232093488362
F3,3,183917.0,253303.0,0.0403,0.7260750958338432
F4,3,181540.0,264519.0,0.0389,0.6863023072066656
F5,3,191787.0,288175.0,0.0407,0.6655226858679621
F6,3,233224.0,359347.0,0.0403,0.6490216976905331
F7,3,223640.0,343973.0,0.0401,0.6501673096434895
F8,3,213178.0,329767.0,0.0395,0.6464503725357601
