sample_id,replicate,334_373,334_384,600,ratio
D1,1,158775.0,194442.0,0.0475,0.8165674082759897
D2,1,154341.0,181858.0,0.0422,0.8486896369695037
D3,1,164723.0,198738.0,0.0408,0.8288450120258833
D4,1,165648.0,199401.0,0.0405,0.8307280304512014
D5,1,168469.0,203028.0,0.0399,0.8297820990208247
D6,1,183926.0,232490.0,0.0398,0.7911135962837111
D7,1,198145.0,270064.0,0.0395,0.7336964571360862
D8,1,234976.0,349502.0,0.0391,0.6723166104914994
E1,1,227502.0,349393.0,0.0411,0.6511349683594119
E2,1,241098.0,378523.0,0.0425,0.6369441222858321
E3,1,243533.0,378872.0,0.0411,0.6427843704470111
E4,1,228326.0,353034.0,0.0389,0.646753570477631
D1,2,139587.0,175268.0,0.0461,0.7964203391377775
D2,2,135737.0,165915.0,0.0412,0.8181116836934575
D3,2,142250.0,177399.0,0.0409,0.8018647230254962
D4,2,145545.0,181513.0,0.0405,0.8018433941370591
D5,2,146714.0,185605.0,0.0399,0.7904636189757819
D6,2,163522.0,213045.0,0.0399,0.7675467624210848
D7,2,177603.0,251890.0,0.0395,0.7050815832307753
D8,2,216746.0,325642.0,0.0394,0.6655959612089349
E1,2,217543.0,334806.0,0.041,0.6497583675322426
E2,2,231484.0,362213.0,0.0421,0.6390825287883096
E3,2,234951.0,365351.0,0.0403,0.6430829531053699
E4,2,224130.0,346333.0,0.0389,0.6471517296936763
D1,3,134917.0,168918.0,0.0451,0.7987129849986384
D2,3,131359.0,161642.0,0.0407,0.8126538894594226
D3,3,139108.0,172053.0,0.0413,0.8085183054058924
D4,3,140763.0,176371.0,0.0407,0.7981073986086148
D5,3,143097.0,181420.0,0.0398,0.788760886341087
D6,3,158892.0,207657.0,0.0398,0.7651656337132868
D7,3,173362.0,246333.0,0.0394,0.7037709117333041
D8,3,209789.0,314121.0,0.0393,0.6678604741484969
E1,3,213592.0,330455.0,0.0409,0.6463572952444357
E2,3,227377.0,357340.0,0.0423,0.6363043599932837
E3,3,230358.0,361384.0,0.0404,0.6374327585061873
E4,3,220883.0,346646.0,0.0391,0.6372004869521067
