sample_id,replicate,334_373,334_384,600,ratio
B5,1,130486.0,166519.0,0.0407,0.7836102787069343
B6,1,164386.0,206159.0,0.0406,0.7973748417483593
B7,1,147128.0,185026.0,0.0399,0.795174732199799
B8,1,142730.0,176088.0,0.0412,0.8105606287765208
C1,1,135617.0,181921.0,0.0404,0.7454719356204067
C2,1,134235.0,177032.0,0.0437,0.7582527452663925
C3,1,185913.0,269305.0,0.0392,0.6903436623902267
C4,1,183155.0,261801.0,0.0384,0.6995962582266684
C5,1,215534.0,315203.0,0.0406,0.6837942532272853
C6,1,223082.0,331925.0,0.0406,0.6720855614973262
C7,1,210803.0,313482.0,0.0397,0.6724564727799364
C8,1,171568.0,254007.0,0.0411,0.6754459522769057
B5,2,121112.0,152755.0,0.0396,0.7928512978298583
B6,2,153253.0,195472.0,0.0405,0.7840151019071785
B7,2,136281.0,171389.0,0.0403,0.7951560485212004
B8,2,133648.0,167304.0,0.0409,0.7988332616076125
C1,2,129510.0,171029.0,0.04,0.7572400002338785
C2,2,125181.0,167872.0,0.0415,0.7456931471597408
C3,2,175372.0,257976.0,0.0395,0.6797996712872515
C4,2,170282.0,250367.0,0.0386,0.680129569791546
C5,2,203910.0,303175.0,0.0409,0.6725818421703637
C6,2,212034.0,318376.0,0.0405,0.6659861296077594
C7,2,198170.0,303625.0,0.0398,0.6526801152737752
C8,2,164826.0,247921.0,0.041,0.6648327491418637
B5,3,117488.0,148510.0,0.0399,0.7911117096491819
B6,3,148886.0,189311.0,0.0405,0.7864624876525929
B7,3,134478.0,168713.0,0.0402,0.797081434151488
B8,3,130435.0,163868.0,0.0411,0.7959760294871482
C1,3,127934.0,165603.0,0.0396,0.7725343139918963
C2,3,123494.0,162567.0,0.0402,0.7596498674392712
C3,3,174158.0,252234.0,0.0391,0.6904620312884068
C4,3,167660.0,245187.0,0.0384,0.6838046062801045
C5,3,199081.0,296636.0,0.0409,0.6711289256867002
C6,3,208130.0,312860.0,0.0405,0.6652496324234481
C7,3,195894.0,299674.0,0.0397,0.6536903435066105
C8,3,165907.0,246770.0,0.0409,0.6723143007658954
