sample_id,replicate,334_373,334_384,600,ratio
A1,1,144240.0,183220.0,0.0397,0.7872503001855693
A2,1,149666.0,185036.0,0.0403,0.8088480079552087
A3,1,160418.0,192304.0,0.0395,0.8341896164406356
A4,1,155691.0,191920.0,0.0408,0.811228636932055
A5,1,157754.0,198758.0,0.0387,0.7936988699825919
A6,1,150918.0,192557.0,0.0408,0.783757536729384
A7,1,179233.0,238178.0,0.0396,0.7525170250820815
A8,1,207007.0,281753.0,0.0407,0.7347108992628295
B1,1,212786.0,309781.0,0.0399,0.6868917073674629
B2,1,211863.0,325594.0,0.0412,0.6506968801636394
B3,1,225124.0,349849.0,0.0396,0.6434890481321942
B4,1,202151.0,309277.0,0.042,0.6536244208266376
A1,2,133691.0,169145.0,0.04,0.790392858198587
A2,2,137682.0,174693.0,0.0405,0.7881369030241624
A3,2,146616.0,186712.0,0.0391,0.7852521530485453
A4,2,142268.0,181085.0,0.0409,0.7856421017754094
A5,2,145468.0,186784.0,0.0391,0.7788033236251499
A6,2,142108.0,185162.0,0.041,0.7674792884069086
A7,2,168019.0,229878.0,0.0399,0.7309050887862257
A8,2,187448.0,264517.0,0.0405,0.7086425447135722
B1,2,202135.0,296226.0,0.04,0.6823675166933355
B2,2,204367.0,312800.0,0.0413,0.6533471867007673
B3,2,217686.0,337598.0,0.0396,0.6448083223241844
B4,2,193823.0,301131.0,0.0421,0.6436501057679216
A1,3,128560.0,164580.0,0.0402,0.7811398711872646
A2,3,133753.0,171166.0,0.0402,0.7814227124545763
A3,3,144185.0,184185.0,0.0394,0.7828270488910606
A4,3,138501.0,177856.0,0.041,0.778725485786254
A5,3,141385.0,184391.0,0.0391,0.7667673584936358
A6,3,138431.0,181797.0,0.041,0.7614592099979648
A7,3,161882.0,221732.0,0.0399,0.7300795554994317
A8,3,182383.0,257076.0,0.0407,0.7094516796589335
B1,3,198301.0,292043.0,0.0399,0.6790130220549714
B2,3,202093.0,308254.0,0.041,0.6556054422651449
B3,3,214961.0,334360.0,0.0395,0.6429028591936835
B4,3,194437.0,301042.0,0.0421,0.6458799768803024
