concentration,surfactant volume,water volume,probe volume,total volume
1.91,40.55513055325992,934.4448694467401,25,1000.0
2.544,54.01688593062474,920.9831140693752,25,1000.0
3.389,71.95881541622924,903.0411845837707,25,1000.0
4.515,95.8672326952715,879.1327673047285,25,1000.0
6.014,127.69557861115455,847.3044213888454,25,1000.0
8.012,170.11921779723482,804.8807822027652,25,1000.0
10.673,226.62037088740476,748.3796291125952,25,1000.0
14.217,301.8703094637154,673.1296905362847,25,1000.0
18.939,402.13278405664386,572.8672159433561,25,1000.0
25.23,535.7099182506533,439.29008174934665,25,1000.0
33.609,713.6216663688549,261.3783336311451,25,1000.0
44.771,950.625,24.375,25,1000.0
