sample_id,replicate,334_373,334_384,600,ratio
D1,1,141777.0,171353.0,0.0409,0.827397244285189
D2,1,146615.0,182055.0,0.0403,0.805333553047156
D3,1,148061.0,177644.0,0.0413,0.8334703114093355
D4,1,127436.0,153430.0,0.0404,0.830580720849899
D5,1,106221.0,129701.0,0.0402,0.8189682423420019
D6,1,109033.0,139094.0,0.0397,0.7838799660661135
D7,1,130626.0,175385.0,0.0391,0.7447957350970722
D8,1,145423.0,196044.0,0.0393,0.7417875578951664
E1,1,134363.0,184738.0,0.0419,0.7273165239420152
E2,1,138687.0,192565.0,0.0424,0.7202087606782126
E3,1,133559.0,184345.0,0.0392,0.7245056822805067
E4,1,116205.0,157140.0,0.0391,0.739499809087438
D1,2,125574.0,153707.0,0.0406,0.8169699493191592
D2,2,129366.0,161674.0,0.0415,0.8001657656766085
D3,2,132175.0,166982.0,0.0411,0.7915523828915692
D4,2,116140.0,142917.0,0.0404,0.8126395040478039
D5,2,103145.0,125318.0,0.0399,0.8230661197912511
D6,2,102492.0,133651.0,0.0392,0.7668629490239505
D7,2,124127.0,170405.0,0.0388,0.7284234617528829
D8,2,135858.0,188244.0,0.0391,0.7217122458086314
E1,2,128360.0,177390.0,0.0418,0.7236033598286262
E2,2,130198.0,181361.0,0.0424,0.717894144827168
E3,2,128417.0,178275.0,0.0393,0.7203309493759641
E4,2,111852.0,152480.0,0.0391,0.7335519412381952
D1,3,121415.0,150998.0,0.0407,0.8040834977946728
D2,3,123721.0,155831.0,0.041,0.7939434387252857
D3,3,130743.0,162492.0,0.0412,0.8046119193560298
D4,3,114512.0,141168.0,0.0403,0.8111753371868978
D5,3,100308.0,125056.0,0.0398,0.8021046571136131
D6,3,103958.0,135103.0,0.0394,0.7694721804845193
D7,3,122234.0,168205.0,0.0388,0.7266965904699623
D8,3,132283.0,185903.0,0.0388,0.711570012318252
E1,3,126642.0,175474.0,0.0418,0.7217137581636026
E2,3,129366.0,181778.0,0.0422,0.7116702791316881
E3,3,127367.0,178287.0,0.0392,0.7143930853062759
E4,3,111910.0,153300.0,0.039,0.730006523157208
