sample_id,replicate,334_373,334_384,600,ratio
E5,1,127578.0,155577.0,0.0409,0.8200312385506855
E6,1,119607.0,146259.0,0.0401,0.8177753163907862
E7,1,102184.0,122340.0,0.0388,0.8352460356383848
E8,1,93857.0,116531.0,0.0402,0.8054251658357003
F1,1,85787.0,107732.0,0.0412,0.796300077971262
F2,1,99573.0,132230.0,0.0414,0.7530288134311427
F3,1,109221.0,147591.0,0.0404,0.7400247982600565
F4,1,126134.0,171332.0,0.0395,0.7361963906333902
F5,1,125205.0,169173.0,0.0399,0.7401003706265185
F6,1,129004.0,176044.0,0.04,0.7327940742087206
F7,1,119634.0,161812.0,0.0392,0.7393394803846439
F8,1,102793.0,136505.0,0.0398,0.7530346873740889
E5,2,115519.0,141533.0,0.0409,0.8161983424360396
E6,2,109791.0,136223.0,0.0399,0.8059652187956512
E7,2,93118.0,115215.0,0.039,0.808210736449247
E8,2,90668.0,110606.0,0.0402,0.8197385313635789
F1,2,80189.0,101611.0,0.0412,0.7891763687002391
F2,2,95346.0,128100.0,0.0416,0.7443091334894614
F3,2,106148.0,143409.0,0.0404,0.7401766974178747
F4,2,119992.0,165690.0,0.0397,0.7241957873136581
F5,2,119344.0,163866.0,0.0402,0.7283023934190131
F6,2,123209.0,171875.0,0.0401,0.7168523636363636
F7,2,115025.0,157937.0,0.0394,0.7282967259096982
F8,2,100818.0,134285.0,0.0398,0.7507763339166698
E5,3,109912.0,137914.0,0.0407,0.7969604246124397
E6,3,105663.0,130966.0,0.04,0.8067971840019547
E7,3,90710.0,111861.0,0.0391,0.810917120354726
E8,3,87264.0,108086.0,0.0402,0.8073571045278759
F1,3,78700.0,98980.0,0.0413,0.7951101232572236
F2,3,94372.0,127116.0,0.0414,0.7424085087636489
F3,3,104725.0,142326.0,0.0406,0.735810744347484
F4,3,118405.0,164655.0,0.0395,0.7191096535179617
F5,3,118916.0,164765.0,0.0401,0.7217309501411101
F6,3,123569.0,174154.0,0.0401,0.7095386841531058
F7,3,115760.0,159096.0,0.0394,0.7276110021622165
F8,3,100487.0,134422.0,0.0398,0.7475487643391707
